,NPM,NAA,NLK,NLM,NAU
0,[3.903269087696206e-07],[0.0018230905675816825],[1.1235677357493714e-07],[2.10895669442695e-07],[2.7724208742699488]
1,[2.129384136114651e-07],[0.0018287184149519806],[1.4087696698741329e-07],[1.8407740826289463e-07],[4.050072246579374]
2,[2.17045010841099e-07],[0.0018254437096221618],[1.5381584359377072e-07],[1.8291712732405988e-07],[4.685537491516568]
3,[2.0182187662121562e-07],[0.0018242847562249616],[1.4267327134546972e-07],[1.787127040440265e-07],[4.928286750060341]
4,[1.99128078570411e-07],[0.0018248147018783433],[1.04060886264802e-07],[1.7677570930954742e-07],[4.645378044372075]
5,[2.0075020281607388e-07],[0.001827697066997256],[1.1156030403548122e-07],[1.5293667248824609e-07],[2.9102081838503246]
6,[1.9837796580958417e-07],[0.0018245721636380374],[1.0510971365791849e-07],[1.543301250820178e-07],[3.126390837485395]
7,[2.0393645636855332e-07],[0.001824641350309746],[1.0597360646349845e-07],[1.7181533529426076e-07],[3.719144877761638]
8,[3.903269087696206e-07],[0.0018230905675816825],[1.1235677357493714e-07],[2.10895669442695e-07],[2.7724208742699488]
9,[2.129384136114651e-07],[0.0018287184149519806],[1.4087696698741329e-07],[1.8407740826289463e-07],[4.050072246579374]
10,[2.17045010841099e-07],[0.0018254437096221618],[1.5381584359377072e-07],[1.8291712732405988e-07],[4.685537491516568]
11,[2.0182187662121562e-07],[0.0018242847562249616],[1.4267327134546972e-07],[1.787127040440265e-07],[4.928286750060341]
12,[1.99128078570411e-07],[0.0018248147018783433],[1.04060886264802e-07],[1.7677570930954742e-07],[4.645378044372075]
13,[2.0075020281607388e-07],[0.001827697066997256],[1.1156030403548122e-07],[1.5293667248824609e-07],[2.9102081838503246]
14,[1.9837796580958417e-07],[0.0018245721636380374],[1.0510971365791849e-07],[1.543301250820178e-07],[3.126390837485395]
15,[2.0393645636855332e-07],[0.001824641350309746],[1.0597360646349845e-07],[1.7181533529426076e-07],[3.719144877761638]
16,[1.6991871734243745e-07],[0.0018211943940275156],[6.017910887737366e-08],[1.4049082020317747e-07],[1.0562488789370412]
17,[1.7638093035959522e-07],[0.0018212871261670156],[6.287269412090028e-08],[1.4419632997387608e-07],[1.1201217518555073]
18,[3.903269087696206e-07],[0.0018230905675816825],[1.1235677357493714e-07],[2.10895669442695e-07],[2.7724208742699488]
19,[2.129384136114651e-07],[0.0018287184149519806],[1.4087696698741329e-07],[1.8407740826289463e-07],[4.050072246579374]
20,[2.17045010841099e-07],[0.0018254437096221618],[1.5381584359377072e-07],[1.8291712732405988e-07],[4.685537491516568]
21,[2.0182187662121562e-07],[0.0018242847562249616],[1.4267327134546972e-07],[1.787127040440265e-07],[4.928286750060341]
22,[1.99128078570411e-07],[0.0018248147018783433],[1.04060886264802e-07],[1.7677570930954742e-07],[4.645378044372075]
23,[2.0075020281607388e-07],[0.001827697066997256],[1.1156030403548122e-07],[1.5293667248824609e-07],[2.9102081838503246]
24,[1.9837796580958417e-07],[0.0018245721636380374],[1.0510971365791849e-07],[1.543301250820178e-07],[3.126390837485395]
25,[2.0393645636855332e-07],[0.001824641350309746],[1.0597360646349845e-07],[1.7181533529426076e-07],[3.719144877761638]
26,[1.6991871734243745e-07],[0.0018211943940275156],[6.017910887737366e-08],[1.4049082020317747e-07],[1.0562488789370412]
27,[1.7638093035959522e-07],[0.0018212871261670156],[6.287269412090028e-08],[1.4419632997387608e-07],[1.1201217518555073]
28,[1.617575019871444e-07],[0.0018212618182330122],[7.475045935195143e-08],[1.517885512443081e-07],[0.834695389269745]
29,[1.6504747518451635e-07],[0.0018214008138258634],[6.373433229890314e-08],[1.4901681327668617e-07],[0.7956323506732598]
30,[1.5191832161246594e-07],[0.001821429341941041],[6.104148891225039e-08],[1.503295993755455e-07],[1.005266527199045]
31,[1.7641918404786117e-07],[0.0018212095257879222],[6.774131690608392e-08],[1.3668602661264652e-07],[1.0662960653200335]
32,[3.903269087696206e-07],[0.0018230905675816825],[1.1235677357493714e-07],[2.10895669442695e-07],[2.7724208742699488]
33,[2.129384136114651e-07],[0.0018287184149519806],[1.4087696698741329e-07],[1.8407740826289463e-07],[4.050072246579374]
34,[2.17045010841099e-07],[0.0018254437096221618],[1.5381584359377072e-07],[1.8291712732405988e-07],[4.685537491516568]
35,[2.0182187662121562e-07],[0.0018242847562249616],[1.4267327134546972e-07],[1.787127040440265e-07],[4.928286750060341]
36,[1.99128078570411e-07],[0.0018248147018783433],[1.04060886264802e-07],[1.7677570930954742e-07],[4.645378044372075]
37,[2.0075020281607388e-07],[0.001827697066997256],[1.1156030403548122e-07],[1.5293667248824609e-07],[2.9102081838503246]
38,[1.9837796580958417e-07],[0.0018245721636380374],[1.0510971365791849e-07],[1.543301250820178e-07],[3.126390837485395]
39,[2.0393645636855332e-07],[0.001824641350309746],[1.0597360646349845e-07],[1.7181533529426076e-07],[3.719144877761638]
40,[1.6991871734243745e-07],[0.0018211943940275156],[6.017910887737366e-08],[1.4049082020317747e-07],[1.0562488789370412]
41,[1.7638093035959522e-07],[0.0018212871261670156],[6.287269412090028e-08],[1.4419632997387608e-07],[1.1201217518555073]
42,[1.617575019871444e-07],[0.0018212618182330122],[7.475045935195143e-08],[1.517885512443081e-07],[0.834695389269745]
43,[1.6504747518451635e-07],[0.0018214008138258634],[6.373433229890314e-08],[1.4901681327668617e-07],[0.7956323506732598]
44,[1.5191832161246594e-07],[0.001821429341941041],[6.104148891225039e-08],[1.503295993755455e-07],[1.005266527199045]
45,[1.7641918404786117e-07],[0.0018212095257879222],[6.774131690608392e-08],[1.3668602661264652e-07],[1.0662960653200335]
46,[1.5771032135756472e-07],[0.00182121924731683],[5.984900706990336e-08],[1.634514253755215e-07],[1.0627929410088763]
47,[1.8052743820720905e-07],[0.0018212428660146964],[5.636873480126482e-08],[1.3713587484388816e-07],[0.9871974862593006]
48,[1.8038714621467892e-07],[0.0018212491251519362],[6.124261983913705e-08],[1.368363621825976e-07],[1.2019924032450324]
49,[1.8187954314181515e-07],[0.0018212913767507815],[5.8017845667110964e-08],[1.4482551582846767e-07],[0.9293195029931869]
50,[3.903269087696206e-07],[0.0018230905675816825],[1.1235677357493714e-07],[2.10895669442695e-07],[2.7724208742699488]
51,[2.129384136114651e-07],[0.0018287184149519806],[1.4087696698741329e-07],[1.8407740826289463e-07],[4.050072246579374]
52,[2.17045010841099e-07],[0.0018254437096221618],[1.5381584359377072e-07],[1.8291712732405988e-07],[4.685537491516568]
53,[2.0182187662121562e-07],[0.0018242847562249616],[1.4267327134546972e-07],[1.787127040440265e-07],[4.928286750060341]
54,[1.99128078570411e-07],[0.0018248147018783433],[1.04060886264802e-07],[1.7677570930954742e-07],[4.645378044372075]
55,[2.0075020281607388e-07],[0.001827697066997256],[1.1156030403548122e-07],[1.5293667248824609e-07],[2.9102081838503246]
56,[1.9837796580958417e-07],[0.0018245721636380374],[1.0510971365791849e-07],[1.543301250820178e-07],[3.126390837485395]
57,[2.0393645636855332e-07],[0.001824641350309746],[1.0597360646349845e-07],[1.7181533529426076e-07],[3.719144877761638]
58,[1.617575019871444e-07],[0.0018212618182330122],[7.475045935195143e-08],[1.517885512443081e-07],[0.834695389269745]
59,[1.7641918404786117e-07],[0.0018212095257879222],[6.774131690608392e-08],[1.3668602661264652e-07],[1.0662960653200335]
60,[1.5771032135756472e-07],[0.00182121924731683],[5.984900706990336e-08],[1.634514253755215e-07],[1.0627929410088763]
61,[1.8038714621467892e-07],[0.0018212491251519362],[6.124261983913705e-08],[1.368363621825976e-07],[1.2019924032450324]
62,[1.8187954314181515e-07],[0.0018212913767507815],[5.8017845667110964e-08],[1.4482551582846767e-07],[0.9293195029931869]
63,[1.9432297061641288e-07],[0.0018212477254069613],[6.558707596414126e-08],[1.5129738000603591e-07],[1.0860300450778935]
64,[1.756724699418783e-07],[0.001821513432268794],[6.588949006077154e-08],[1.4578071101621736e-07],[1.1817733008699893]
65,[1.6395526426355916e-07],[0.0018212759255563681],[6.706045502593475e-08],[1.417674942262744e-07],[0.8439885745361999]
66,[1.4285004684470003e-07],[0.0018213834122804686],[6.053517523115004e-08],[1.448845129660016e-07],[0.7980709345431635]
67,[2.818284582446213e-07],[0.0018216861065336854],[1.1493191024963554e-07],[1.7793181468298124e-07],[1.2522047333779969]
68,[6.097125398643799e-07],[0.001822953057785253],[1.3868302293515426e-07],[1.7730711329757522e-07],[3.5444408563983067]
69,[2.150257058740143e-07],[0.00182764937093552],[1.0488636351705036e-07],[1.8898038343418896e-07],[3.5613906105873467]
70,[2.2990076494528004e-07],[0.001829298189274624],[1.3326927763683013e-07],[1.792386910032535e-07],[3.708067141991136]
71,[1.99128078570411e-07],[0.0018248147018783433],[1.04060886264802e-07],[1.7677570930954742e-07],[4.645378044372075]
72,[2.0075020281607388e-07],[0.001827697066997256],[1.1156030403548122e-07],[1.5293667248824609e-07],[2.9102081838503246]
73,[1.9837796580958417e-07],[0.0018245721636380374],[1.0510971365791849e-07],[1.543301250820178e-07],[3.126390837485395]
74,[2.0393645636855332e-07],[0.001824641350309746],[1.0597360646349845e-07],[1.7181533529426076e-07],[3.719144877761638]
75,[1.617575019871444e-07],[0.0018212618182330122],[7.475045935195143e-08],[1.517885512443081e-07],[0.834695389269745]
76,[1.7641918404786117e-07],[0.0018212095257879222],[6.774131690608392e-08],[1.3668602661264652e-07],[1.0662960653200335]
77,[1.5771032135756472e-07],[0.00182121924731683],[5.984900706990336e-08],[1.634514253755215e-07],[1.0627929410088763]
78,[1.8038714621467892e-07],[0.0018212491251519362],[6.124261983913705e-08],[1.368363621825976e-07],[1.2019924032450324]
79,[1.8187954314181515e-07],[0.0018212913767507815],[5.8017845667110964e-08],[1.4482551582846767e-07],[0.9293195029931869]
80,[1.898364884607899e-07],[0.001826313357862662],[1.2671513523950507e-07],[1.9170098766164537e-07],[3.4844765520374326]
81,[2.461400256144377e-07],[0.0018263312743760215],[1.2385809877933864e-07],[1.7313243563438668e-07],[3.4922367553163105]
82,[2.1123750773000512e-07],[0.0018265517539276062],[1.255694118453966e-07],[1.7884301838231125e-07],[3.403990802356435]
83,[2.260228716129751e-07],[0.00182649890929831],[1.2581641030997745e-07],[2.0140998629239276e-07],[3.187205071803786]
84,[2.111432255560974e-07],[0.001826687930171203],[1.2883697009287473e-07],[1.838027412169233e-07],[3.430496113266802]
