,NPM,NAA,NLK,NLM,NAU
0,[5.299580462375436e-08],[0.001978556273235006],[2.869043718977138e-08],[3.8649709711870684e-08],[0.7654746956346941]
1,[5.508049791528248e-08],[0.0019786029303231582],[3.0123630830334176e-08],[4.169561781225116e-08],[0.7398763453857083]
2,[5.737898566757907e-08],[0.0019785123336219083],[3.105930955642958e-08],[4.2234254119983654e-08],[0.5842656132575628]
3,[5.696568919596793e-08],[0.001978510570591191],[2.7747556605391774e-08],[3.479774975598937e-08],[0.6476773676390999]
4,[5.8143588767337313e-08],[0.0019785315192166466],[2.7315614090812156e-08],[3.761648461222489e-08],[0.7255722624543431]
5,[5.798901717971131e-08],[0.001978689995322262],[2.9691043098397066e-08],[3.9434482894628935e-08],[0.6886702799567384]
6,[5.6578706925636194e-08],[0.001978820993230128],[2.7818178861310857e-08],[4.380994311233551e-08],[0.7836580202753644]
7,[5.706297631181023e-08],[0.00197869592321822],[3.159563793390806e-08],[4.1946634150449265e-08],[0.8175770238791514]
8,[6.044618070984352e-08],[0.001978850985146795],[2.9046725263450143e-08],[4.4786717662696285e-08],[0.8413906154069166]
9,[5.067343037217099e-08],[0.001978819748080064],[2.7012905268566385e-08],[3.904714273221288e-08],[0.6716685707845785]
10,[5.531308555397816e-08],[0.0019787101552626997],[2.7816248368589413e-08],[3.5181375030419706e-08],[0.7194739644559834]
11,[5.644462648786941e-08],[0.0019788615232821894],[2.7649662029056933e-08],[3.825901829418154e-08],[0.6381881064481718]
12,[5.188166377254681e-08],[0.0019788114201215066],[2.7417384722792884e-08],[3.94136390147117e-08],[0.6700863543749502]
13,[5.198012523574851e-08],[0.001978864251706826],[2.846612721200945e-08],[3.684625709467787e-08],[0.6667620055611116]
14,[6.278555409701153e-08],[0.0019787156039879263],[2.8335277870218725e-08],[4.1704806157728116e-08],[0.664696547182623]
15,[5.7253308420932496e-08],[0.0019787822605525423],[3.158132494043237e-08],[4.049538790295875e-08],[0.7772259539490136]
16,[5.524154807002173e-08],[0.0019787344992737727],[2.914613751838029e-08],[4.2246217845316514e-08],[0.7413434582976097]
17,[5.4942449446772925e-08],[0.0019787562961233484],[2.597309388873856e-08],[3.828486848766821e-08],[0.640687287909969]
18,[5.767027436040554e-08],[0.0019788531971918137],[2.8436568855194834e-08],[3.9866852276422083e-08],[0.6425873883388186]
19,[5.118906554968513e-08],[0.001978753983833137],[2.865809893103374e-08],[3.843338312967657e-08],[0.6637654276495765]
20,[5.6938881519084306e-08],[0.0019789244541167507],[2.8535156342616926e-08],[3.599062217115678e-08],[0.6548150155690174]
21,[5.749775138410754e-08],[0.001978782570236235],[2.8597214602684562e-08],[3.9265189615496185e-08],[0.649378992194726]
22,[6.188267030192387e-08],[0.001978754848345408],[2.8123071932820635e-08],[4.0769016170765566e-08],[0.7594689121703925]
23,[5.7450100693275206e-08],[0.001978854251248634],[3.161678917928201e-08],[4.04380142509721e-08],[0.7533638649464621]
24,[5.8649931776777805e-08],[0.001978811701484994],[2.6569464842680674e-08],[3.706218173274721e-08],[0.7573594033675222]
25,[5.040385431353642e-08],[0.0019788542386862096],[2.898701433854277e-08],[3.6200832789046045e-08],[0.6822414297272211]
