,0
0.0,7.318237892343396e-10
12.20703125,7.311081104558066e-10
24.4140625,7.287873153837788e-10
36.62109375,7.288710111037431e-10
48.828125,7.29079510658955e-10
61.03515625,7.287736190919158e-10
73.2421875,7.290981540410184e-10
85.44921875,7.290264135195305e-10
97.65625,7.290135586544627e-10
109.86328125,7.291975035055388e-10
122.0703125,7.290730235673028e-10
134.27734375,7.290937938435073e-10
146.484375,7.29339164607859e-10
158.69140625,7.292156659424289e-10
170.8984375,7.295538590191417e-10
183.10546875,7.295590871982662e-10
195.3125,7.295239041133211e-10
207.51953125,7.295003325248896e-10
219.7265625,7.295611241697324e-10
231.93359375,7.296557769354302e-10
244.140625,7.297631766342297e-10
256.34765625,7.296026977161582e-10
268.5546875,7.30061763430913e-10
280.76171875,7.297876320035552e-10
292.96875,7.309843352395612e-10
305.17578125,7.309421980806998e-10
317.3828125,7.30377368018716e-10
329.58984375,7.303998573805077e-10
341.796875,7.302749371315051e-10
354.00390625,7.306669697027646e-10
366.2109375,7.305820278661578e-10
378.41796875,7.311882288157444e-10
390.625,7.306217036313199e-10
402.83203125,7.316796920686709e-10
415.0390625,7.312668984271019e-10
427.24609375,7.326027441703049e-10
439.453125,7.31328115188934e-10
451.66015625,7.316273437810724e-10
463.8671875,7.316476730952901e-10
476.07421875,7.322683099914542e-10
488.28125,7.322534070924225e-10
500.48828125,7.321261112190154e-10
512.6953125,7.325400925344327e-10
524.90234375,7.332627638963288e-10
537.109375,7.349652689910989e-10
549.31640625,7.342040968561179e-10
561.5234375,7.326675747726549e-10
573.73046875,7.342615058457183e-10
585.9375,7.338891101872326e-10
598.14453125,7.346329004006497e-10
610.3515625,7.333278827004835e-10
622.55859375,7.350989049312172e-10
634.765625,7.352021632371429e-10
646.97265625,7.352681299458254e-10
659.1796875,7.391690077241788e-10
671.38671875,7.362810375543462e-10
683.59375,7.35030383221676e-10
695.80078125,7.360746400084945e-10
708.0078125,7.345193125874995e-10
720.21484375,7.364164710676852e-10
732.421875,7.353792468188191e-10
744.62890625,7.364135055920486e-10
756.8359375,7.352028132800922e-10
769.04296875,7.369822010534533e-10
781.25,7.381914800017895e-10
793.45703125,7.395308551734797e-10
805.6640625,7.407915191930539e-10
817.87109375,7.369419954230803e-10
830.078125,7.361077780628594e-10
842.28515625,7.363258709704454e-10
854.4921875,7.368258532417864e-10
866.69921875,7.36706866168386e-10
878.90625,7.366056718279437e-10
891.11328125,7.371584934026922e-10
903.3203125,7.370494836618067e-10
915.52734375,7.373038430404873e-10
927.734375,7.374783145597362e-10
939.94140625,7.375613299993754e-10
952.1484375,7.377939416481482e-10
964.35546875,7.380527591019149e-10
976.5625,7.382080135926534e-10
988.76953125,7.384682835090343e-10
1000.9765625,7.386834820435632e-10
1013.18359375,7.389078182534876e-10
1025.390625,7.391343842579748e-10
1037.59765625,7.394448986854326e-10
1049.8046875,7.395725940303523e-10
1062.01171875,7.401165922635298e-10
1074.21875,7.400558232920034e-10
1086.42578125,7.409902174079862e-10
1098.6328125,7.408836409965811e-10
1110.83984375,7.425194283664628e-10
1123.046875,7.431453653621366e-10
1135.25390625,7.465440860432414e-10
1147.4609375,7.450911966040798e-10
1159.66796875,7.501662234380777e-10
1171.875,7.5012647745242e-10
1184.08203125,7.674116473196308e-10
1196.2890625,7.701329069142561e-10
1208.49609375,7.704630917413761e-10
1220.703125,7.699023625786887e-10
1232.91015625,7.726615778959558e-10
1245.1171875,7.839039882124232e-10
1257.32421875,7.925830921519448e-10
1269.53125,8.148180668768144e-10
1281.73828125,8.417381278457261e-10
1293.9453125,8.383699825412919e-10
1306.15234375,8.331438100161429e-10
1318.359375,8.359834342096404e-10
1330.56640625,8.44689207981608e-10
1342.7734375,8.650330375801618e-10
1354.98046875,8.675167266558096e-10
1367.1875,8.867257680594002e-10
1379.39453125,9.195565264807872e-10
1391.6015625,9.309442832819365e-10
1403.80859375,9.49720538925195e-10
1416.015625,9.607288075559306e-10
1428.22265625,9.877372940280892e-10
1440.4296875,1.0193916754899693e-09
1452.63671875,1.041479864586625e-09
1464.84375,1.0475775394221263e-09
1477.05078125,1.1020350712547031e-09
1489.2578125,1.1306515893015827e-09
1501.46484375,1.1932007386911637e-09
1513.671875,1.1757527686863523e-09
1525.87890625,1.2403945361828198e-09
1538.0859375,1.2599932718702322e-09
1550.29296875,1.2857286185953804e-09
1562.5,1.3219057953811737e-09
1574.70703125,1.3475026652827524e-09
1586.9140625,1.4148750107650059e-09
1599.12109375,1.5500285072737143e-09
1611.328125,1.5039426490474443e-09
1623.53515625,1.573378954494617e-09
