,NPM,NAA,NLK,NLM,NAU
0,[1.8942188851449594e-07],[0.0009119313906850539],[7.035875308706765e-08],[2.071614439536111e-07],[1.4205655093305432]
1,[1.683928413182718e-07],[0.0009119866862218282],[8.137768796409764e-08],[2.0890556998118203e-07],[1.265810452223657]
2,[2.187003394631501e-07],[0.0009119020287574943],[7.52238654959598e-08],[2.0704958586131365e-07],[1.4095819272379286]
3,[2.2477167905577735e-07],[0.0009120253352670549],[9.055328011910382e-08],[2.1353391197049764e-07],[1.2690056856304004]
4,[1.930998800827841e-07],[0.0009118783240045902],[7.60792901057088e-08],[1.942626082164876e-07],[1.2922357780126024]
5,[1.8816060756620597e-07],[0.000911859304671951],[7.774625321919027e-08],[2.0219718102457885e-07],[1.306823366406722]
6,[1.7542499920347068e-07],[0.0009119148549886853],[8.533055051959035e-08],[2.094431891929198e-07],[1.2690325301331384]
7,[1.9293942435113407e-07],[0.0009119824952752466],[7.728025965443109e-08],[2.1619270863626686e-07],[1.3802173341130335]
8,[2.0142748370951238e-07],[0.0009118374990940754],[8.08014573425238e-08],[2.0915316734769156e-07],[1.4084389303813116]
9,[1.951692151082415e-07],[0.0009119943587391644],[8.742722262022711e-08],[2.2196942513326475e-07],[1.6533608863068514]
10,[2.1630440839895932e-07],[0.0009119663540401882],[9.456038098975482e-08],[1.8761779134911203e-07],[1.3864633747308652]
11,[2.2539405590461165e-07],[0.0009118763171768673],[1.0034855902451063e-07],[2.3111223436487947e-07],[1.5036485626101244]
12,[2.5721422255513414e-07],[0.0009119531581800006],[9.463505880295311e-08],[2.4248709888938497e-07],[1.5430790039806692]
13,[1.6168749842375874e-07],[0.000911892401710553],[1.0017214999056873e-07],[2.1280945678321325e-07],[1.4073669851400352]
14,[1.930998800827841e-07],[0.0009118783240045902],[7.60792901057088e-08],[1.942626082164876e-07],[1.2922357780126024]
15,[1.9293942435113407e-07],[0.0009119824952752466],[7.728025965443109e-08],[2.1619270863626686e-07],[1.3802173341130335]
16,[1.951692151082415e-07],[0.0009119943587391644],[8.742722262022711e-08],[2.2196942513326475e-07],[1.6533608863068514]
17,[2.1630440839895932e-07],[0.0009119663540401882],[9.456038098975482e-08],[1.8761779134911203e-07],[1.3864633747308652]
18,[2.2539405590461165e-07],[0.0009118763171768673],[1.0034855902451063e-07],[2.3111223436487947e-07],[1.5036485626101244]
19,[2.5721422255513414e-07],[0.0009119531581800006],[9.463505880295311e-08],[2.4248709888938497e-07],[1.5430790039806692]
20,[1.6168749842375874e-07],[0.000911892401710553],[1.0017214999056873e-07],[2.1280945678321325e-07],[1.4073669851400352]
21,[2.3281605806880452e-07],[0.000911962284728459],[1.063678783867222e-07],[2.253946996875493e-07],[1.5096316875296902]
22,[2.3709893143314267e-07],[0.000911961532848408],[1.0398892277873565e-07],[2.2823361500975473e-07],[1.6224411863483859]
23,[1.8982113181417883e-07],[0.0009119416663275488],[8.52094201694843e-08],[2.2907142553005393e-07],[1.3287024862803343]
24,[1.7548530761113262e-07],[0.0009118226441766852],[8.90798336800341e-08],[2.28833754883144e-07],[1.4884613092220844]
25,[2.0706610348108092e-07],[0.0009119353158948746],[8.246797729876523e-08],[2.3750142206051103e-07],[1.514228862569626]
26,[1.813973469734689e-07],[0.0009118047499053546],[8.519920517345372e-08],[2.2592517305985725e-07],[1.4964243194880618]
27,[1.8480764202652465e-07],[0.000911879543574747],[8.231689947862491e-08],[2.099903282704195e-07],[1.4832486566824503]
28,[1.930998800827841e-07],[0.0009118783240045902],[7.60792901057088e-08],[1.942626082164876e-07],[1.2922357780126024]
29,[1.9293942435113407e-07],[0.0009119824952752466],[7.728025965443109e-08],[2.1619270863626686e-07],[1.3802173341130335]
30,[1.951692151082415e-07],[0.0009119943587391644],[8.742722262022711e-08],[2.2196942513326475e-07],[1.6533608863068514]
31,[2.1630440839895932e-07],[0.0009119663540401882],[9.456038098975482e-08],[1.8761779134911203e-07],[1.3864633747308652]
32,[2.2539405590461165e-07],[0.0009118763171768673],[1.0034855902451063e-07],[2.3111223436487947e-07],[1.5036485626101244]
33,[2.5721422255513414e-07],[0.0009119531581800006],[9.463505880295311e-08],[2.4248709888938497e-07],[1.5430790039806692]
34,[1.6168749842375874e-07],[0.000911892401710553],[1.0017214999056873e-07],[2.1280945678321325e-07],[1.4073669851400352]
35,[2.3709893143314267e-07],[0.000911961532848408],[1.0398892277873565e-07],[2.2823361500975473e-07],[1.6224411863483859]
36,[2.0706610348108092e-07],[0.0009119353158948746],[8.246797729876523e-08],[2.3750142206051103e-07],[1.514228862569626]
37,[1.813973469734689e-07],[0.0009118047499053546],[8.519920517345372e-08],[2.2592517305985725e-07],[1.4964243194880618]
38,[1.8480764202652465e-07],[0.000911879543574747],[8.231689947862491e-08],[2.099903282704195e-07],[1.4832486566824503]
39,[1.999186283000764e-07],[0.0009119962175950744],[9.328423383716259e-08],[2.5425286504585705e-07],[1.5959996155777039]
40,[2.1980946676267604e-07],[0.0009118719539856576],[8.78824713316248e-08],[2.483901822534999e-07],[1.677151145002408]
41,[1.7302276585023012e-07],[0.000911873964780703],[8.160536762746466e-08],[2.2548120629133162e-07],[1.3759792973630796]
42,[1.4944042889969273e-07],[0.0009117283638718692],[7.597248085188734e-08],[2.0225259783245381e-07],[1.2961798933052728]
43,[1.81867208591391e-07],[0.0009119318789843106],[9.066466501762649e-08],[2.43599161509667e-07],[1.4528354247737634]
44,[2.2712515810223654e-07],[0.0009118905505816796],[9.189758438152121e-08],[2.258828525066888e-07],[1.4766111102275101]
45,[2.0229900900384345e-07],[0.0009118921008143104],[8.244461527383775e-08],[2.1742835872393628e-07],[1.5224239655382301]
46,[2.5721422255513414e-07],[0.0009119531581800006],[9.463505880295311e-08],[2.4248709888938497e-07],[1.5430790039806692]
47,[1.6168749842375874e-07],[0.000911892401710553],[1.0017214999056873e-07],[2.1280945678321325e-07],[1.4073669851400352]
48,[2.3709893143314267e-07],[0.000911961532848408],[1.0398892277873565e-07],[2.2823361500975473e-07],[1.6224411863483859]
49,[2.0706610348108092e-07],[0.0009119353158948746],[8.246797729876523e-08],[2.3750142206051103e-07],[1.514228862569626]
50,[1.813973469734689e-07],[0.0009118047499053546],[8.519920517345372e-08],[2.2592517305985725e-07],[1.4964243194880618]
51,[1.8480764202652465e-07],[0.000911879543574747],[8.231689947862491e-08],[2.099903282704195e-07],[1.4832486566824503]
52,[1.999186283000764e-07],[0.0009119962175950744],[9.328423383716259e-08],[2.5425286504585705e-07],[1.5959996155777039]
53,[2.1980946676267604e-07],[0.0009118719539856576],[8.78824713316248e-08],[2.483901822534999e-07],[1.677151145002408]
54,[2.604206241113949e-07],[0.0009118325257052485],[9.573770200396369e-08],[2.4393851799408133e-07],[1.7028564840338964]
55,[1.894775333047215e-07],[0.0009118026979571994],[8.918571563954807e-08],[2.358776465463019e-07],[1.4600074884201126]
56,[1.84889067763671e-07],[0.0009118066835915045],[8.263108341119989e-08],[2.4095519578681684e-07],[1.5710940143468426]
57,[1.9459205667842415e-07],[0.0009118174724830775],[8.642756670296172e-08],[2.2507675538489578e-07],[1.4135328296758933]
58,[1.7029106359060292e-07],[0.0009117834181853835],[7.980187501348287e-08],[2.0586498433747862e-07],[1.4334104260731682]
59,[1.7610544823894335e-07],[0.0009118187610445147],[7.56201216964874e-08],[1.8731521917149345e-07],[1.385408054616816]
60,[1.6524576789099176e-07],[0.0009118325792472518],[7.747083826209767e-08],[1.9670720028851668e-07],[1.1958945404843484]
61,[1.754165076195297e-07],[0.0009118173257367201],[7.87009085796553e-08],[2.010302668889286e-07],[1.2636987154671195]
62,[1.8480764202652465e-07],[0.000911879543574747],[8.231689947862491e-08],[2.099903282704195e-07],[1.4832486566824503]
63,[1.999186283000764e-07],[0.0009119962175950744],[9.328423383716259e-08],[2.5425286504585705e-07],[1.5959996155777039]
64,[2.1980946676267604e-07],[0.0009118719539856576],[8.78824713316248e-08],[2.483901822534999e-07],[1.677151145002408]
65,[2.604206241113949e-07],[0.0009118325257052485],[9.573770200396369e-08],[2.4393851799408133e-07],[1.7028564840338964]
66,[1.894775333047215e-07],[0.0009118026979571994],[8.918571563954807e-08],[2.358776465463019e-07],[1.4600074884201126]
67,[1.84889067763671e-07],[0.0009118066835915045],[8.263108341119989e-08],[2.4095519578681684e-07],[1.5710940143468426]
68,[1.9459205667842415e-07],[0.0009118174724830775],[8.642756670296172e-08],[2.2507675538489578e-07],[1.4135328296758933]
69,[1.7029106359060292e-07],[0.0009117834181853835],[7.980187501348287e-08],[2.0586498433747862e-07],[1.4334104260731682]
70,[1.7610544823894335e-07],[0.0009118187610445147],[7.56201216964874e-08],[1.8731521917149345e-07],[1.385408054616816]
71,[1.6524576789099176e-07],[0.0009118325792472518],[7.747083826209767e-08],[1.9670720028851668e-07],[1.1958945404843484]
72,[1.754165076195297e-07],[0.0009118173257367201],[7.87009085796553e-08],[2.010302668889286e-07],[1.2636987154671195]
73,[1.91110645076879e-07],[0.0009118501391397106],[8.735574444789349e-08],[2.3359949635714286e-07],[1.5081798192623554]
