,NPM,NAA,NLK,NLM,NAU
0,[7.333135066482706e-08],[0.001979912916364683],[3.5491861400665586e-08],[5.046969483689138e-08],[0.3127665822388803]
1,[9.109893908719842e-08],[0.006929439474743903],[5.663112602389621e-08],[7.435263284109204e-08],[0.4480618409902223]
2,[1.0705501403362404e-07],[0.006929504920486289],[5.523968190325956e-08],[7.533489273428213e-08],[0.41284608628193264]
3,[1.019024142347693e-07],[0.006929390315649399],[5.92799825151412e-08],[7.443976684481091e-08],[0.4626633521580402]
4,[9.202363412320283e-08],[0.006929702936355368],[5.8147988338850655e-08],[6.74685472295536e-08],[0.37073373428515266]
5,[8.40395522130309e-08],[0.006929817765748961],[5.745862358886691e-08],[6.839714080743804e-08],[0.2997535214664626]
6,[8.65878901314802e-08],[0.0069298789810624305],[5.499941326664897e-08],[6.408458957382374e-08],[0.28327217920544684]
7,[8.770425945247025e-08],[0.00692967961949427],[5.354176921706838e-08],[6.18542197127265e-08],[0.28373598737973643]
8,[8.889679287303467e-08],[0.0069293080878623],[5.563372513125099e-08],[6.867461833256421e-08],[0.30902949810838515]
9,[9.748420722833736e-08],[0.006929418464370064],[5.746394891352969e-08],[7.323936948562049e-08],[0.5219461023876192]
10,[7.333135066482706e-08],[0.001979912916364683],[3.5491861400665586e-08],[5.046969483689138e-08],[0.3127665822388803]
11,[9.109893908719842e-08],[0.006929439474743903],[5.663112602389621e-08],[7.435263284109204e-08],[0.4480618409902223]
12,[1.0705501403362404e-07],[0.006929504920486289],[5.523968190325956e-08],[7.533489273428213e-08],[0.41284608628193264]
13,[1.019024142347693e-07],[0.006929390315649399],[5.92799825151412e-08],[7.443976684481091e-08],[0.4626633521580402]
14,[9.202363412320283e-08],[0.006929702936355368],[5.8147988338850655e-08],[6.74685472295536e-08],[0.37073373428515266]
15,[8.40395522130309e-08],[0.006929817765748961],[5.745862358886691e-08],[6.839714080743804e-08],[0.2997535214664626]
16,[8.65878901314802e-08],[0.0069298789810624305],[5.499941326664897e-08],[6.408458957382374e-08],[0.28327217920544684]
17,[8.770425945247025e-08],[0.00692967961949427],[5.354176921706838e-08],[6.18542197127265e-08],[0.28373598737973643]
18,[8.889679287303467e-08],[0.0069293080878623],[5.563372513125099e-08],[6.867461833256421e-08],[0.30902949810838515]
19,[9.748420722833736e-08],[0.006929418464370064],[5.746394891352969e-08],[7.323936948562049e-08],[0.5219461023876192]
20,[1.004444825864206e-07],[0.006929279576882272],[6.129723046397665e-08],[7.907339450724291e-08],[0.6771903732362953]
21,[9.90915982912479e-08],[0.00692963713379545],[5.971117859303938e-08],[7.42658424004849e-08],[0.5852387167183211]
22,[9.309886732328317e-08],[0.006929863461619778],[6.186634513733992e-08],[8.255532399529484e-08],[0.577711422309304]
23,[9.92067277500218e-08],[0.0069297725326449774],[6.292409739561592e-08],[7.791050338295744e-08],[0.5676817907334595]
24,[7.333135066482706e-08],[0.001979912916364683],[3.5491861400665586e-08],[5.046969483689138e-08],[0.3127665822388803]
