,NPM,NAA,NLK,NLM,NAU
0,[7.333135066482706e-08],[0.001979912916364683],[3.5491861400665586e-08],[5.046969483689138e-08],[0.3127665822388803]
1,[8.332466240778537e-08],[0.006929208498418536],[5.46858764384433e-08],[6.918162658920715e-08],[0.29405334829330554]
2,[9.421552575256398e-08],[0.006929490426712913],[5.733564233291884e-08],[7.266437150612507e-08],[0.3495913735982161]
3,[9.018567456248779e-08],[0.006929358535562573],[5.7938945064987186e-08],[7.293715930202451e-08],[0.42237572104633525]
4,[9.726478867413504e-08],[0.006929278296763915],[5.552623663759927e-08],[7.246378389269055e-08],[0.43286507734848734]
5,[1.0185931039510721e-07],[0.006929313893212684],[5.869879887663817e-08],[7.511737748566589e-08],[0.45324241024064804]
6,[1.0252636884597106e-07],[0.006928906304191922],[5.583103833914314e-08],[6.938755784903691e-08],[0.49488198811179607]
7,[9.748094928139877e-08],[0.006928808762189603],[6.017063233310656e-08],[7.110098382243947e-08],[0.5316495867616746]
8,[1.1270399029707218e-07],[0.006927907788973956],[5.977461461676559e-08],[7.370020459327433e-08],[0.3460028993111275]
9,[1.0004027843882178e-07],[0.00692843191488476],[5.568180817396825e-08],[7.031420282109306e-08],[0.3064538479136625]
10,[8.934380382053206e-08],[0.006928397036394256],[5.682852782711231e-08],[7.155843981360102e-08],[0.33291091038924897]
11,[8.89980343708188e-08],[0.006928496324250844],[5.832939457009535e-08],[7.009297306126622e-08],[0.29660252762003886]
12,[7.333135066482706e-08],[0.001979912916364683],[3.5491861400665586e-08],[5.046969483689138e-08],[0.3127665822388803]
13,[8.332466240778537e-08],[0.006929208498418536],[5.46858764384433e-08],[6.918162658920715e-08],[0.29405334829330554]
14,[9.421552575256398e-08],[0.006929490426712913],[5.733564233291884e-08],[7.266437150612507e-08],[0.3495913735982161]
15,[1.0185931039510721e-07],[0.006929313893212684],[5.869879887663817e-08],[7.511737748566589e-08],[0.45324241024064804]
16,[1.0252636884597106e-07],[0.006928906304191922],[5.583103833914314e-08],[6.938755784903691e-08],[0.49488198811179607]
17,[9.748094928139877e-08],[0.006928808762189603],[6.017063233310656e-08],[7.110098382243947e-08],[0.5316495867616746]
18,[1.1270399029707218e-07],[0.006927907788973956],[5.977461461676559e-08],[7.370020459327433e-08],[0.3460028993111275]
19,[1.0004027843882178e-07],[0.00692843191488476],[5.568180817396825e-08],[7.031420282109306e-08],[0.3064538479136625]
20,[8.934380382053206e-08],[0.006928397036394256],[5.682852782711231e-08],[7.155843981360102e-08],[0.33291091038924897]
21,[8.89980343708188e-08],[0.006928496324250844],[5.832939457009535e-08],[7.009297306126622e-08],[0.29660252762003886]
22,[9.45189964268831e-08],[0.0069287646411450386],[5.735634738753725e-08],[7.295325469569942e-08],[0.3837467219310742]
23,[9.460102044070646e-08],[0.0069290986545578965],[5.768925519980943e-08],[7.751606643901771e-08],[0.4049726237828889]
24,[9.825556933895078e-08],[0.006929279255222597],[5.8328822193770693e-08],[7.631128678516179e-08],[0.5270286670115676]
25,[9.646001570830132e-08],[0.006929346073185344],[5.942551205156804e-08],[7.641398031114162e-08],[0.5524350936127398]
26,[1.0186314944391662e-07],[0.00692982705606144],[5.755275479738718e-08],[7.486955161954627e-08],[0.4371628995050008]
27,[7.333135066482706e-08],[0.001979912916364683],[3.5491861400665586e-08],[5.046969483689138e-08],[0.3127665822388803]
28,[8.89980343708188e-08],[0.006928496324250844],[5.832939457009535e-08],[7.009297306126622e-08],[0.29660252762003886]
29,[9.45189964268831e-08],[0.0069287646411450386],[5.735634738753725e-08],[7.295325469569942e-08],[0.3837467219310742]
30,[9.460102044070646e-08],[0.0069290986545578965],[5.768925519980943e-08],[7.751606643901771e-08],[0.4049726237828889]
31,[9.825556933895078e-08],[0.006929279255222597],[5.8328822193770693e-08],[7.631128678516179e-08],[0.5270286670115676]
32,[9.646001570830132e-08],[0.006929346073185344],[5.942551205156804e-08],[7.641398031114162e-08],[0.5524350936127398]
33,[1.0186314944391662e-07],[0.00692982705606144],[5.755275479738718e-08],[7.486955161954627e-08],[0.4371628995050008]
34,[9.979834501035136e-08],[0.00692894472642001],[6.205331437537857e-08],[7.751309393038174e-08],[0.5222118321329774]
35,[1.0016921354048035e-07],[0.00692990138688248],[5.970349101805858e-08],[7.830906693825753e-08],[0.5946254687952381]
36,[9.573767377372198e-08],[0.0069294614667782094],[5.869080759016012e-08],[7.441526496887919e-08],[0.4037433509222241]
37,[8.731424053405529e-08],[0.006929814667996058],[5.685194821298936e-08],[6.788626034535473e-08],[0.35039958497443485]
38,[9.046059275906472e-08],[0.00692954639562779],[5.614890659345906e-08],[7.224553207932931e-08],[0.3630291797663737]
39,[8.065779495922533e-08],[0.006928886511347101],[5.305395771120395e-08],[6.355744226240539e-08],[0.25187390371411467]
