,NPM,NAA,NLK,NLM,NAU
0,[1.6909765611067406e-07],[0.001821062421796042],[5.9021218295151985e-08],[1.3852605845282723e-07],[0.8675388655244217]
1,[1.866971565066271e-07],[0.001820903288050354],[6.089628886840247e-08],[1.461207965855925e-07],[0.8759238602371622]
2,[1.6956542175563183e-07],[0.0018210379783841078],[6.126026073626019e-08],[1.2988093315050364e-07],[0.9238095644438725]
3,[1.5635552182977307e-07],[0.0018208554445941264],[5.264941651136045e-08],[1.3018225292760257e-07],[0.9123619387328102]
4,[1.5652658121131624e-07],[0.0018208547186092838],[5.424902684340649e-08],[1.2001046757210845e-07],[0.7379335829088387]
5,[1.665913666221054e-07],[0.0018210825412883097],[6.582623484313314e-08],[1.385379307273938e-07],[0.7171188410331863]
6,[1.526847271139147e-07],[0.0018209715900369228],[5.60504672880074e-08],[1.3746717148343236e-07],[0.7038321342148297]
7,[1.5015748639331943e-07],[0.001821084000592296],[5.548816939033131e-08],[1.4047220919036725e-07],[0.7768259396735936]
8,[1.5377054498678755e-07],[0.0018211114738450654],[5.709183399534996e-08],[1.415555999349657e-07],[0.8390794293418627]
9,[1.6736021293563748e-07],[0.0018212374574804282],[6.311516900930926e-08],[1.4692570292861136e-07],[1.0899414662614129]
10,[1.892716468253724e-07],[0.0018211906601948442],[5.572192574890695e-08],[1.2695573558126027e-07],[0.7517371568948076]
11,[1.7605904692123773e-07],[0.001821124284542237],[6.696899436015223e-08],[1.4982867292716937e-07],[0.9028664232238656]
12,[1.6550064360285688e-07],[0.0018210551785781016],[6.287363068108005e-08],[1.442348929273905e-07],[1.207563694690473]
13,[1.5664553880014377e-07],[0.0018210427720879133],[6.631022452211735e-08],[1.5058684377747871e-07],[1.015197441396082]
14,[1.6909765611067406e-07],[0.001821062421796042],[5.9021218295151985e-08],[1.3852605845282723e-07],[0.8675388655244217]
15,[1.866971565066271e-07],[0.001820903288050354],[6.089628886840247e-08],[1.461207965855925e-07],[0.8759238602371622]
16,[1.6956542175563183e-07],[0.0018210379783841078],[6.126026073626019e-08],[1.2988093315050364e-07],[0.9238095644438725]
17,[1.526847271139147e-07],[0.0018209715900369228],[5.60504672880074e-08],[1.3746717148343236e-07],[0.7038321342148297]
18,[1.6736021293563748e-07],[0.0018212374574804282],[6.311516900930926e-08],[1.4692570292861136e-07],[1.0899414662614129]
19,[1.892716468253724e-07],[0.0018211906601948442],[5.572192574890695e-08],[1.2695573558126027e-07],[0.7517371568948076]
20,[1.7605904692123773e-07],[0.001821124284542237],[6.696899436015223e-08],[1.4982867292716937e-07],[0.9028664232238656]
21,[1.6550064360285688e-07],[0.0018210551785781016],[6.287363068108005e-08],[1.442348929273905e-07],[1.207563694690473]
22,[1.5664553880014377e-07],[0.0018210427720879133],[6.631022452211735e-08],[1.5058684377747871e-07],[1.015197441396082]
23,[1.599275608391521e-07],[0.001821021731020297],[6.157034037277822e-08],[1.417972911084926e-07],[0.8124307886542612]
24,[1.4694756302854816e-07],[0.0018211549728385503],[5.685606008615743e-08],[1.1992789695192793e-07],[0.6739573618280057]
25,[1.5887315407520962e-07],[0.001821203911507042],[5.934453887246595e-08],[1.2880788708175433e-07],[0.8156801119920433]
26,[1.7702063170476912e-07],[0.0018211073788805697],[6.858150067804208e-08],[1.3695927367022653e-07],[1.10278559249535]
27,[1.8764075728684466e-07],[0.0018211232594095403],[6.470704007810029e-08],[1.4626361198984094e-07],[1.0213808351062674]
28,[1.6956542175563183e-07],[0.0018210379783841078],[6.126026073626019e-08],[1.2988093315050364e-07],[0.9238095644438725]
29,[1.526847271139147e-07],[0.0018209715900369228],[5.60504672880074e-08],[1.3746717148343236e-07],[0.7038321342148297]
30,[1.6736021293563748e-07],[0.0018212374574804282],[6.311516900930926e-08],[1.4692570292861136e-07],[1.0899414662614129]
31,[1.892716468253724e-07],[0.0018211906601948442],[5.572192574890695e-08],[1.2695573558126027e-07],[0.7517371568948076]
32,[1.7605904692123773e-07],[0.001821124284542237],[6.696899436015223e-08],[1.4982867292716937e-07],[0.9028664232238656]
33,[1.6550064360285688e-07],[0.0018210551785781016],[6.287363068108005e-08],[1.442348929273905e-07],[1.207563694690473]
34,[1.5664553880014377e-07],[0.0018210427720879133],[6.631022452211735e-08],[1.5058684377747871e-07],[1.015197441396082]
35,[1.599275608391521e-07],[0.001821021731020297],[6.157034037277822e-08],[1.417972911084926e-07],[0.8124307886542612]
36,[1.4694756302854816e-07],[0.0018211549728385503],[5.685606008615743e-08],[1.1992789695192793e-07],[0.6739573618280057]
37,[1.5887315407520962e-07],[0.001821203911507042],[5.934453887246595e-08],[1.2880788708175433e-07],[0.8156801119920433]
38,[1.746988385056343e-07],[0.0018211648894908706],[6.133348010258235e-08],[1.4081175237179966e-07],[1.0289428365861375]
39,[1.6695639944691522e-07],[0.001821192330891559],[5.7817259119371825e-08],[1.3882422578511028e-07],[1.0794376483353436]
40,[1.685334369472274e-07],[0.0018211536494135744],[6.867038856332948e-08],[1.41659318570673e-07],[1.0786472027488525]
41,[1.4346313497924542e-07],[0.0018211548313705305],[6.100948332073184e-08],[1.3890146523035866e-07],[0.7954302390088601]
42,[1.4343912859220124e-07],[0.001821126403703869],[5.738162716941547e-08],[1.3020813048390017e-07],[0.7776986449759281]
43,[1.526847271139147e-07],[0.0018209715900369228],[5.60504672880074e-08],[1.3746717148343236e-07],[0.7038321342148297]
44,[1.6736021293563748e-07],[0.0018212374574804282],[6.311516900930926e-08],[1.4692570292861136e-07],[1.0899414662614129]
45,[1.892716468253724e-07],[0.0018211906601948442],[5.572192574890695e-08],[1.2695573558126027e-07],[0.7517371568948076]
46,[1.7605904692123773e-07],[0.001821124284542237],[6.696899436015223e-08],[1.4982867292716937e-07],[0.9028664232238656]
47,[1.6550064360285688e-07],[0.0018210551785781016],[6.287363068108005e-08],[1.442348929273905e-07],[1.207563694690473]
48,[1.5664553880014377e-07],[0.0018210427720879133],[6.631022452211735e-08],[1.5058684377747871e-07],[1.015197441396082]
49,[1.599275608391521e-07],[0.001821021731020297],[6.157034037277822e-08],[1.417972911084926e-07],[0.8124307886542612]
50,[1.4694756302854816e-07],[0.0018211549728385503],[5.685606008615743e-08],[1.1992789695192793e-07],[0.6739573618280057]
