,NPM,NAA,NLK,NLM,NAU
0,[1.7736121562315714e-07],[0.0009118551580023589],[9.241409485599333e-08],[2.0185141287052788e-07],[1.3703015660136473]
1,[1.8420771014822276e-07],[0.0009119111158227438],[7.984543855461192e-08],[2.0426777663795323e-07],[1.5328570735467046]
2,[1.7408047020348793e-07],[0.0009117796964859599],[8.162840255595441e-08],[2.2589059565366166e-07],[1.3339661350100132]
3,[1.961443101893976e-07],[0.0009118005961539358],[7.690902732498127e-08],[2.1218234537943002e-07],[1.3865167563318255]
4,[1.801376451080288e-07],[0.0009119347348216313],[8.636156740744555e-08],[2.1806746180515595e-07],[1.283804281358458]
5,[1.7495448872653075e-07],[0.0009118445845507051],[8.894098004848222e-08],[2.1972999689354465e-07],[1.4728784900515222]
6,[1.7107011985409163e-07],[0.0009117797120429352],[7.336902912767529e-08],[1.8792661588952453e-07],[1.2175862683016678]
7,[1.7404571725079796e-07],[0.0009117611922950214],[7.996280400886729e-08],[2.0819176834936096e-07],[1.2202347750140325]
8,[1.7066130941935903e-07],[0.0009118242990633242],[7.797858367300075e-08],[2.0783027531351897e-07],[1.1300314826662674]
9,[1.8346145737930336e-07],[0.0009119345693570447],[7.945324684149058e-08],[1.9800350810343227e-07],[1.2672131265765216]
10,[1.961443101893976e-07],[0.0009118005961539358],[7.690902732498127e-08],[2.1218234537943002e-07],[1.3865167563318255]
11,[1.801376451080288e-07],[0.0009119347348216313],[8.636156740744555e-08],[2.1806746180515595e-07],[1.283804281358458]
12,[1.7495448872653075e-07],[0.0009118445845507051],[8.894098004848222e-08],[2.1972999689354465e-07],[1.4728784900515222]
13,[1.7107011985409163e-07],[0.0009117797120429352],[7.336902912767529e-08],[1.8792661588952453e-07],[1.2175862683016678]
14,[1.7404571725079796e-07],[0.0009117611922950214],[7.996280400886729e-08],[2.0819176834936096e-07],[1.2202347750140325]
15,[1.7066130941935903e-07],[0.0009118242990633242],[7.797858367300075e-08],[2.0783027531351897e-07],[1.1300314826662674]
16,[1.8346145737930336e-07],[0.0009119345693570447],[7.945324684149058e-08],[1.9800350810343227e-07],[1.2672131265765216]
17,[1.771742468533654e-07],[0.000911853615063933],[8.210986670270761e-08],[1.9829802068516616e-07],[1.2411612793031008]
18,[2.1866146985741107e-07],[0.0009119491978149035],[8.615445813455515e-08],[2.3388295096391434e-07],[1.636308041230189]
19,[1.8582330229072788e-07],[0.0009119288560212427],[8.439271275398635e-08],[2.3900186257729974e-07],[1.4325008755034028]
20,[2.1735722585304752e-07],[0.0009118544340315164],[9.322949797685067e-08],[2.3047310483681035e-07],[1.4285145983180316]
21,[2.514443728847288e-07],[0.0009119635554213482],[9.523423028687226e-08],[2.1267476527018335e-07],[1.4828365083254598]
22,[1.961443101893976e-07],[0.0009118005961539358],[7.690902732498127e-08],[2.1218234537943002e-07],[1.3865167563318255]
23,[1.801376451080288e-07],[0.0009119347348216313],[8.636156740744555e-08],[2.1806746180515595e-07],[1.283804281358458]
24,[1.7495448872653075e-07],[0.0009118445845507051],[8.894098004848222e-08],[2.1972999689354465e-07],[1.4728784900515222]
25,[2.1735722585304752e-07],[0.0009118544340315164],[9.322949797685067e-08],[2.3047310483681035e-07],[1.4285145983180316]
26,[2.514443728847288e-07],[0.0009119635554213482],[9.523423028687226e-08],[2.1267476527018335e-07],[1.4828365083254598]
27,[2.3675497810214778e-07],[0.0009119029907504535],[9.084706060019696e-08],[2.515069210234783e-07],[1.425067280535974]
28,[1.8117872304119787e-07],[0.0009119024760054111],[8.932913138864605e-08],[2.109103288144272e-07],[1.4027274614082863]
29,[1.9829796270397526e-07],[0.0009119229618126072],[8.643528347588581e-08],[2.0405428722167164e-07],[1.3680142391929595]
30,[1.6946337235619693e-07],[0.0009118437007969002],[8.521593921248141e-08],[1.9666643274677662e-07],[1.1015541894587129]
31,[1.7236182157973622e-07],[0.0009118034372696866],[8.702064954278601e-08],[2.0193151531323273e-07],[1.4990596091248094]
32,[2.140712586416336e-07],[0.0009117790210312059],[9.5540513719179e-08],[2.2429895782882316e-07],[1.3274612606860379]
33,[2.077707899422151e-07],[0.0009118399016494952],[8.362964007658088e-08],[2.453307323822099e-07],[1.4676200131416615]
34,[1.801376451080288e-07],[0.0009119347348216313],[8.636156740744555e-08],[2.1806746180515595e-07],[1.283804281358458]
35,[1.7495448872653075e-07],[0.0009118445845507051],[8.894098004848222e-08],[2.1972999689354465e-07],[1.4728784900515222]
36,[2.1735722585304752e-07],[0.0009118544340315164],[9.322949797685067e-08],[2.3047310483681035e-07],[1.4285145983180316]
