,0
0.0,7.211534870813378e-10
12.20703125,5.421624283747545e-10
24.4140625,3.267509855853085e-10
36.62109375,3.052952415156045e-10
48.828125,3.057262015233438e-10
61.03515625,3.06049064574152e-10
73.2421875,3.065445599017926e-10
85.44921875,3.0682658177097604e-10
97.65625,3.073284074020967e-10
109.86328125,3.078121966024049e-10
122.0703125,3.0801237034989483e-10
134.27734375,3.0865181710634893e-10
146.484375,3.088212789209451e-10
158.69140625,3.095462652021583e-10
170.8984375,3.096464235549026e-10
183.10546875,3.1074406681389833e-10
195.3125,3.1055156725877855e-10
207.51953125,3.1112874600332054e-10
219.7265625,3.1144306153116823e-10
231.93359375,3.125456827888843e-10
244.140625,3.129534447763913e-10
256.34765625,3.13132948917463e-10
268.5546875,3.136031410477654e-10
280.76171875,3.1431624712993443e-10
292.96875,3.180267951562135e-10
305.17578125,3.1890440593877874e-10
317.3828125,3.163872051456187e-10
329.58984375,3.158663143334514e-10
341.796875,3.1661466484523865e-10
354.00390625,3.1734614500484794e-10
366.2109375,3.18041736566394e-10
378.41796875,3.177855499595218e-10
390.625,3.197916231564332e-10
402.83203125,3.1942062671863214e-10
415.0390625,3.217740232765792e-10
427.24609375,3.215312331939382e-10
439.453125,3.2219608993966476e-10
451.66015625,3.2281056424468683e-10
463.8671875,3.231904478917696e-10
476.07421875,3.264410845295969e-10
488.28125,3.264042928949357e-10
500.48828125,3.25429277811663e-10
512.6953125,3.2610154411533157e-10
524.90234375,3.277194047391214e-10
537.109375,3.278554267937997e-10
549.31640625,3.2798856926491707e-10
561.5234375,3.298790687331941e-10
573.73046875,3.30185162557963e-10
585.9375,3.302292118182592e-10
598.14453125,3.3560056534298335e-10
610.3515625,3.339503113316911e-10
622.55859375,3.3316269532417123e-10
634.765625,3.334957395575287e-10
646.97265625,3.3415602343099765e-10
659.1796875,3.402791462311461e-10
671.38671875,3.36239758998713e-10
683.59375,3.358880863243367e-10
695.80078125,3.3541916338187706e-10
708.0078125,3.363871600929302e-10
720.21484375,3.371627147745782e-10
732.421875,3.3767769048916154e-10
744.62890625,3.3760219308974565e-10
756.8359375,3.3754340314262195e-10
769.04296875,3.373057106247608e-10
781.25,3.3868826488994855e-10
793.45703125,3.390396485025763e-10
805.6640625,3.379119634506914e-10
817.87109375,3.3648376307313997e-10
830.078125,3.3680844853099255e-10
842.28515625,3.36101491902352e-10
854.4921875,3.3653184082605854e-10
866.69921875,3.363654140683215e-10
878.90625,3.361682488486532e-10
891.11328125,3.3603690620079574e-10
903.3203125,3.366384143973475e-10
915.52734375,3.3625841426162664e-10
927.734375,3.366923574222251e-10
939.94140625,3.368654134434459e-10
952.1484375,3.372136056288168e-10
964.35546875,3.377263470331831e-10
976.5625,3.3808251556377014e-10
988.76953125,3.385545841790588e-10
1000.9765625,3.390302633751062e-10
1013.18359375,3.394411355150328e-10
1025.390625,3.4006140853033e-10
1037.59765625,3.403940380859615e-10
1049.8046875,3.4129240555866117e-10
1062.01171875,3.420244952562271e-10
1074.21875,3.4317086488353715e-10
1086.42578125,3.460535524824564e-10
1098.6328125,3.464524851877611e-10
1110.83984375,3.521252450561568e-10
1123.046875,3.565168993229561e-10
1135.25390625,3.652164237332754e-10
1147.4609375,3.703681944199814e-10
1159.66796875,3.8240233805824653e-10
1171.875,3.886691547291952e-10
1184.08203125,4.0720177766124956e-10
1196.2890625,4.296658816776162e-10
1208.49609375,4.4246182726476655e-10
1220.703125,4.656724014001916e-10
1232.91015625,4.860158523200587e-10
1245.1171875,5.080396347144612e-10
1257.32421875,5.476270823679883e-10
1269.53125,5.787646536900455e-10
1281.73828125,6.117188829480498e-10
1293.9453125,6.508052196316621e-10
1306.15234375,7.027867200911183e-10
1318.359375,7.587858424974669e-10
1330.56640625,7.890434905696001e-10
1342.7734375,8.446208776524211e-10
1354.98046875,9.245754658129301e-10
1367.1875,9.654806795889462e-10
1379.39453125,1.0116210152670674e-09
1391.6015625,1.0691721856021176e-09
1403.80859375,1.1565638686359614e-09
1416.015625,1.266535634772495e-09
1428.22265625,1.3305439653520512e-09
1440.4296875,1.4277394763410938e-09
1452.63671875,1.502630298290452e-09
1464.84375,1.5703474837468856e-09
1477.05078125,1.6920364867450544e-09
1489.2578125,1.8316000844383934e-09
1501.46484375,1.9270350440467076e-09
1513.671875,2.0879877480464757e-09
1525.87890625,2.237817218969276e-09
1538.0859375,2.407097783876366e-09
1550.29296875,2.540107105112676e-09
1562.5,2.6892250100079853e-09
1574.70703125,2.7620371439901023e-09
1586.9140625,2.873753593774869e-09
1599.12109375,3.1251481653362436e-09
1611.328125,3.376284261468117e-09
1623.53515625,3.6753859280260083e-09
1635.7421875,3.895552189570153e-09
1647.94921875,4.018504461338257e-09
1660.15625,4.147535558711133e-09
1672.36328125,4.37977127579183e-09
1684.5703125,4.456152973435873e-09
1696.77734375,4.593931386677387e-09
1708.984375,4.902738872708701e-09
1721.19140625,5.353661542098675e-09
1733.3984375,5.901326039590557e-09
1745.60546875,5.974300909272771e-09
1757.8125,5.859009046882447e-09
1770.01953125,6.0067718863680475e-09
1782.2265625,6.2166359070592355e-09
1794.43359375,6.671705931155812e-09
1806.640625,7.1242808803488935e-09
1818.84765625,7.449476491144052e-09
1831.0546875,7.587321734377822e-09
1843.26171875,7.686532193681213e-09
1855.46875,8.264436663944448e-09
1867.67578125,8.25355105138205e-09
1879.8828125,7.97583662172239e-09
1892.08984375,8.481702709909555e-09
1904.296875,8.9419410521871e-09
1916.50390625,9.200352009305866e-09
1928.7109375,9.459159255286173e-09
1940.91796875,9.867378939303045e-09
1953.125,1.043268685597065e-08
1965.33203125,1.129985662421446e-08
1977.5390625,1.1518479575548336e-08
1989.74609375,1.1252380644891288e-08
2001.953125,1.1469077095368303e-08
2014.16015625,1.1620498148056251e-08
2026.3671875,1.1723277593555918e-08
2038.57421875,1.2077015484380262e-08
2050.78125,1.2634179626383273e-08
2062.98828125,1.2545773017593757e-08
2075.1953125,1.2991685070496663e-08
2087.40234375,1.3004894564236372e-08
2099.609375,1.3055581141351163e-08
2111.81640625,1.3418901935780934e-08
2124.0234375,1.370930474076383e-08
2136.23046875,1.3893461805324648e-08
2148.4375,1.410649433248364e-08
2160.64453125,1.4592340978045969e-08
2172.8515625,1.530626478942827e-08
2185.05859375,1.515833981562673e-08
2197.265625,1.5105069410050424e-08
2209.47265625,1.499791034548053e-08
2221.6796875,1.528031366056443e-08
2233.88671875,1.5395960224739002e-08
2246.09375,1.571789283241765e-08
2258.30078125,1.5400660272143316e-08
2270.5078125,1.4779571384356158e-08
2282.71484375,1.481039082711807e-08
