time	NAA Phase	NAA Amp	NPM Phase	NPM Amp
121	105.5496	0.9044043	148.1197	-4.287207
122	105.3926	1.01666	149.4825	-4.599665
123	105.5877	1.049176	148.7087	-4.596057
124	105.4627	0.9961303	149.4993	-4.650715
125	105.6488	1.013444	150.5341	-5.00614
126	105.3905	0.9244568	147.7197	-4.982949
127	105.5396	1.033667	145.4052	-4.688276
128	105.8125	0.972865	146.0663	-4.9556
129	104.9118	1.009391	150.5716	-4.931877
130	104.9281	0.8639245	149.3615	-5.043616
131	104.6796	1.110029	147.3692	-4.960732
132	105.5887	1.073986	145.6294	-4.77719
133	104.9559	1.077769	148.3208	-5.094158
134	105.344	1.085059	147.6882	-4.373079
135	104.7482	0.9594494	146.3491	-4.588806
136	105.8102	0.8424646	145.1655	-4.983762
137	105.438	0.9406079	148.5914	-4.610317
138	104.7545	0.9917981	146.1952	-5.009219
139	104.253	1.103419	145.0846	-4.64512
140	104.1873	0.85901	146.4236	-4.619219
141	105.7808	0.8939783	145.0225	-4.760083
142	104.4531	0.7808813	148.1998	-4.717224
143	104.7298	0.895824	152.3145	-5.093281
144	104.4808	0.9252295	145.9509	-4.549412
145	104.3661	0.8764209	146.9223	-4.728066
146	104.0083	0.9802673	147.614	-4.990698
147	104.536	0.9731396	146.6002	-5.225649
148	105.1074	0.7696301	143.5509	-4.750503
149	104.5403	0.9350903	145.2486	-5.118486
150	105.1829	0.9244702	145.8711	-5.152009
151	105.1607	1.039851	145.7048	-4.493579
152	105.0595	0.9394739	145.0992	-5.043423
153	104.7523	0.9602637	144.559	-4.549973
154	104.9419	0.8294958	140.118	-4.566465
155	103.6155	0.9714416	144.3963	-4.882541
156	104.2221	0.9173157	147.3943	-4.939629
157	105.0213	0.9158935	141.569	-5.328845
158	104.6728	0.9716565	145.4296	-4.789739
159	104.2322	0.8904663	147.5936	-4.769267
160	104.5063	0.8952368	146.1848	-4.644358
161	104.2622	0.8381958	146.0252	-4.418594
162	102.8944	0.8870642	144.1059	-5.076572
163	104.5079	0.8589038	145.7868	-4.807595
164	105.0445	0.8664136	144.449	-4.347371
165	103.6523	0.9307446	147.6255	-4.798054
166	103.764	0.7944311	147.6121	-4.982109
167	104.2377	1.00838	145.5446	-4.515569
168	104.7522	1.091589	145.2269	-5.021338
169	103.0101	1.041229	143.0907	-5.154062
170	103.7138	0.8753845	145.6429	-4.028574
171	103.304	0.9064233	144.7237	-4.783723
172	104.3189	0.7649426	145.696	-4.443491
173	104.3982	0.8356628	143.4098	-4.564775
174	103.9692	0.9531103	142.4114	-4.37852
175	103.1506	0.8335437	144.8878	-4.992869
176	104.0419	0.8362353	141.5655	-4.427112
177	102.9993	1.041581	142.7017	-4.604192
178	102.6179	0.740116	144.5015	-4.495994
179	102.7354	0.8513013	142.7389	-5.155371
180	102.6028	0.8351587	142.7922	-4.371843
181	103.0812	0.8243078	143.6741	-4.776023
182	103.0088	0.7978332	143.9897	-4.370085
183	103.4595	0.8238611	143.3717	-4.853977
184	103.8532	0.9423083	142.2833	-4.788884
185	102.7922	0.8403699	141.6718	-4.909683
186	103.5807	0.6950598	144.2598	-4.792871
187	104.1181	0.812572	140.899	-5.192085
188	103.7938	0.7776318	145.6652	-4.866003
189	103.0267	1.161554	149.7706	-4.965412
190	103.0125	0.8513269	144.5057	-4.685266
191	102.4543	0.8560168	144.1571	-4.63135
192	101.931	0.9812085	145.6123	-5.197683
