time	NAA Phase	NAA Amp	NPM Phase	NPM Amp
120	21.19827	24.60873	-46.88708	29.4768
121	23.51856	24.55126	-47.35716	29.5396
122	20.34176	24.72662	-46.59786	29.76358
123	20.03129	24.4771	-46.58057	29.58668
124	18.76133	24.70293	-47.78802	29.73911
125	21.10174	24.4688	-48.26055	29.78586
126	22.52083	24.73657	-47.9073	29.70384
127	22.0342	24.40404	-46.77031	29.70654
128	20.56875	24.3783	-46.09354	29.49822
129	20.94574	24.36942	-47.37085	29.61
130	20.41486	24.51914	-47.61991	29.55521
131	20.57639	24.76918	-49.06419	29.74378
132	20.13236	24.4563	-47.26281	29.77414
133	22.67474	24.42144	-46.7921	29.57872
134	22.88649	24.65161	-47.82225	29.65142
135	21.58025	24.63124	-47.18091	29.79005
136	19.46276	24.65001	-48.78498	29.74721
137	20.56702	24.36548	-48.21298	29.81837
138	20.57599	24.55359	-49.16256	29.88464
139	21.36022	24.56601	-48.1229	29.6999
140	20.73821	24.35859	-47.83674	29.72381
141	20.13607	24.39609	-48.65211	29.77716
142	21.79698	24.2774	-47.76053	29.8578
143	21.79948	24.36353	-48.33092	29.78219
144	21.41765	24.38373	-48.20398	29.77057
145	23.77628	24.78792	-47.43421	30.15454
146	24.50132	25.47898	-48.54438	30.28261
147	23.89261	24.7431	-48.48076	29.95698
148	22.94538	24.43861	-48.41155	29.93516
149	22.8226	24.51279	-48.22568	30.04726
150	23.15372	24.33542	-48.29903	29.77423
151	17.53293	24.79132	-48.61476	30.0786
152	23.23428	24.70347	-47.73595	29.99829
153	22.80632	24.56259	-48.80994	29.91919
154	22.5094	24.49304	-49.47228	29.94257
155	23.70043	24.32954	-48.41336	29.84808
156	23.37188	24.26462	-48.98889	30.02664
157	22.80942	24.82051	-50.1854	29.96661
158	23.46623	24.39532	-49.13646	29.84325
159	23.02256	24.40866	-49.11023	29.94601
160	24.42137	24.22284	-49.1724	29.84567
161	24.1898	24.47855	-48.21868	29.73897
162	23.59035	24.58803	-48.95086	29.8821
163	23.11803	24.41538	-49.9138	29.8762
164	23.31424	24.06353	-49.3629	29.86069
165	23.53281	24.18394	-48.44977	29.86244
166	22.23972	24.39974	-49.32718	29.90296
167	23.65753	24.42525	-48.65572	30.03049
168	23.17927	24.33497	-48.22516	29.95785
169	22.59043	23.86188	-48.80858	30.01694
170	22.97003	24.23872	-49.50464	29.97778
171	21.8474	24.47813	-50.09012	30.28501
172	24.80945	24.27185	-49.24163	29.93419
173	23.51097	24.28965	-48.71803	30.06884
174	23.43079	24.58175	-48.41913	30.19684
175	23.2491	24.25649	-49.88202	30.13176
176	23.38648	24.34656	-49.77465	29.95611
177	22.45635	24.24257	-49.5649	30.01204
