time	NAA-L Phase	NAA-L Amp	NPM-L Phase	NPM-L Amp
2846	12.0627	25.21728	24.99157	34.35714
2847	10.97608	25.12938	24.98211	34.41337
2848	13.51859	25.66957	25.69307	34.3597
2849	12.65518	25.35891	25.24676	34.40585
2850	12.5479	25.12409	25.4445	34.49279
2851	13.06263	25.22757	24.67728	34.42257
2852	11.26282	25.62373	24.6106	34.54857
2853	12.87308	25.33045	25.19352	34.44836
2854	13.77192	25.176	24.97174	34.40032
2855	12.30243	24.91133	24.35056	34.43801
2856	12.51336	24.94198	25.30061	34.53095
2857	13.43607	25.3963	25.59883	34.57706
2858	12.92511	25.31906	24.63051	34.51164
2859	11.60128	25.06422	24.48879	34.42767
2860	12.22038	25.23812	23.64042	34.4483
2861	10.30998	25.10605	24.55263	34.46816
2862	11.27365	25.00485	24.14652	34.5232
2863	11.73742	25.09242	24.64993	34.4226
2864	12.25557	24.88603	24.86243	34.43284
2865	12.02578	25.18973	24.07781	34.39338
2866	12.03614	24.89412	24.08507	34.40273
2867	11.24462	24.94805	24.85645	34.41639
2868	11.50239	24.98801	24.35998	34.41515
2869	12.70909	24.98426	24.3679	34.37447
2870	10.9865	24.90611	25.38258	34.40619
2871	11.09556	24.95526	24.36118	34.4194
2872	10.60109	24.94779	24.52441	34.39841
2873	9.52456	24.96364	24.2081	34.46186
2874	11.05173	25.03577	24.70134	34.35062
2875	11.32249	25.09763	24.36069	34.33684
2876	10.66648	24.86084	23.90682	34.33767
2877	12.68534	24.86233	23.95264	34.40344
2878	12.62892	24.97339	24.7211	34.37899
2879	12.17193	24.71003	23.96721	34.38887
2880	10.59343	25.25628	24.50659	34.38988
2881	12.77814	25.39167	24.06609	34.24151
2882	12.88141	25.08198	23.78162	34.31091
2883	9.137813	25.20651	24.20608	34.47078
2884	11.38127	24.8712	23.66812	34.33405
2885	12.92092	25.1953	23.17203	34.42413
2886	13.85516	24.98073	24.265	34.34377
2887	11.42572	24.96183	23.5309	34.30568
2888	11.4971	25.01151	23.98704	34.38167
2889	11.76409	25.06947	23.17954	34.38924
2890	11.57058	25.37988	22.34004	34.60516
2891	12.07615	25.54044	24.06136	34.36472
2892	11.82152	25.20696	23.53799	34.31421
2893	11.47954	25.48654	23.77423	34.31449
2894	12.1192	25.19185	22.97989	34.3954
2895	11.26847	25.2752	23.59802	34.40025
2896	12.68645	25.07878	23.0018	34.30976
2897	11.5809	25.26005	23.73641	34.36633
2898	11.33208	25.0135	23.12471	34.31134
2899	12.84046	24.97567	23.55114	34.36567
2900	10.98117	25.38929	23.40519	34.25914
2901	12.3651	25.32654	23.33799	34.29724
2902	11.53713	25.18471	23.65365	34.22124
2903	11.45983	25.35326	23.60219	34.38778
2904	10.61866	24.98878	23.8896	34.21743
2905	11.13865	25.21557	23.25239	34.28283
2906	11.7554	25.07038	23.35704	34.22551
2907	13.1828	25.22373	23.06269	34.26709
2908	14.11319	25.88375	24.08814	34.22271
2909	13.75117	25.61359	23.4813	34.26979
2910	13.69203	25.72121	22.68917	34.4061
2911	12.2236	25.32622	22.90427	34.26615
2912	12.49619	25.34689	22.90328	34.24741
2913	11.15615	25.3988	22.55213	34.1987
2914	10.94534	25.15609	23.27157	34.37469
2915	12.39668	25.52852	22.73179	34.22157
2916	13.28166	25.31002	23.2846	34.20744
2917	13.02868	25.12596	23.30731	34.20633
2918	13.00843	25.48296	23.22138	34.20485
2919	11.77924	24.99712	22.92959	34.10467
2920	12.2116	25.07507	22.5069	34.18771
2921	12.66883	25.09024	22.31173	34.20841
2922	12.16843	25.2528	22.43216	34.13694
2923	11.14902	25.0309	21.94272	34.18889
2924	10.91388	25.54863	22.33877	34.2411
2925	10.77858	25.2173	22.91914	34.32513
2926	9.627858	25.58932	22.66862	34.10497
2927	10.28642	25.57178	21.593	34.155
2928	12.13839	25.53149	22.09299	34.26309
2929	10.11028	25.40157	22.56385	34.18109
2930	11.72316	25.49225	22.48477	34.21452
2931	12.76873	25.31197	22.38795	34.15645
2932	13.14405	25.4253	22.0473	34.11718
2933	11.74716	25.55531	22.64923	34.11856
2934	9.840823	25.30176	22.21475	34.18315
2935	13.04046	25.51697	22.51085	34.31933
2936	10.86481	25.35136	21.98663	34.07225
2937	10.70615	25.24096	22.36729	33.97565
2938	10.63323	25.30749	22.10606	34.07155
2939	11.69255	25.26546	21.74543	34.19278
2940	8.767819	25.53591	21.49638	34.05949
2941	10.21332	25.3811	22.06652	34.18424
2942	10.83443	25.34951	21.84035	34.23083
2943	10.71181	25.35338	22.19136	34.18983
2944	10.94849	25.5134	21.83722	34.16939
2945	11.34752	25.53138	22.06511	34.15615
2946	10.02469	25.41955	22.42156	34.06172
2947	9.873198	25.37179	22.03854	33.99409
2948	10.50335	25.66876	21.35491	34.18269
2949	12.7318	25.73215	21.7085	34.04811
2950	10.83413	25.34347	21.18996	34.08616
2951	11.06902	25.42739	22.2405	34.09053
2952	12.32094	25.56562	21.4264	34.10784
2953	10.70925	25.30816	21.16718	34.06452
2954	11.99115	25.47783	20.60575	34.06334
2955	10.74284	25.23877	21.23473	34.09177
2956	10.14226	25.62174	21.04515	34.09568
2957	10.95637	25.61097	21.57322	34.07643
2958	12.7726	25.48395	21.25062	34.01267
2959	9.900484	25.47454	21.76207	34.04194
2960	12.49974	25.58623	22.17572	34.0075
2961	10.82706	25.81322	21.60325	34.0926
2962	9.925526	25.58901	21.76091	33.95788
2963	10.94913	25.74048	21.50096	33.99567
2964	11.49074	25.45841	21.48199	33.97735
2965	11.5276	25.69114	21.15001	33.95832
2966	10.93786	25.7007	20.77373	33.95416
2967	10.29978	25.51159	21.28278	34.04786
2968	13.15221	25.49173	20.94091	34.16715
2969	12.71963	25.64404	20.98978	34.0242
2970	11.32652	25.63373	21.17451	34.01353
2971	11.11493	25.56679	20.79501	33.98456
2972	12.00212	25.65149	21.09038	34.05338
2973	12.66268	25.50783	21.17238	34.02142
2974	11.75782	25.84622	21.49486	34.05037
2975	9.364142	25.89964	21.00236	34.00397
2976	11.40277	25.7142	20.74185	34.12106
2977	12.05461	25.79232	21.88298	33.98785
2978	11.3019	25.85226	21.19645	34.01474
2979	14.4109	26.2457	21.06947	34.048
2980	11.90074	25.64077	20.9618	33.93105
2981	12.92443	25.60094	21.46221	33.94863
2982	12.27906	25.55467	20.45273	33.91547
2983	11.22513	25.73254	20.33412	33.85129
2984	10.60457	26.29219	20.21861	33.93389
2985	11.79156	25.82318	21.1706	33.93776
2986	11.28861	25.81918	20.84809	33.89985
2987	10.88104	25.99223	20.42826	34.02109
2988	12.55594	25.65498	20.94166	33.92108
2989	12.22988	25.42884	20.11178	33.9652
2990	12.00438	25.49197	19.92615	33.92414
2991	13.37295	25.4012	20.70008	34.03504
2992	11.52883	25.69829	20.29015	33.77831
2993	12.05663	25.52607	20.25578	33.81496
2994	12.18858	25.51289	19.58841	33.95403
2995	9.907296	25.8323	20.13137	33.75872
2996	9.51301	25.77357	19.53539	33.70548
2997	11.48849	25.30317	20.91038	33.87627
2998	11.39543	25.57809	19.55527	33.8057
2999	11.64322	25.69504	19.72146	33.92265
3000	10.04906	25.55815	19.7471	33.84941
3001	10.2025	25.38166	20.81333	33.90986
3002	11.47261	25.30956	19.47532	33.90683
3003	11.92295	25.40517	19.50413	33.93905
3004	11.17562	25.41733	19.82935	33.79839
3005	11.26385	25.24711	19.13841	33.84316
3006	11.52525	25.28293	19.41212	33.91033
3007	9.627468	25.6911	19.02448	34.0625
3008	11.78453	25.24274	18.9292	34.00968
3009	12.26442	25.41334	20.00538	34.0326
3010	12.49219	25.55634	19.58237	34.0637
3011	11.56316	25.41693	19.31515	34.06899
3012	11.76146	25.30009	19.27345	34.00934
3013	9.716891	25.37916	19.55407	33.83319
3014	8.753468	24.86826	18.91818	34.06649
3015	11.30215	25.01295	19.47679	34.05436
3016	10.97365	25.34838	19.17447	33.92795
3017	12.4686	25.21738	19.08731	33.86741
3018	12.06959	25.12548	18.93648	33.85025
3019	12.69595	25.08206	18.87899	33.85676
3020	9.266492	25.49996	19.73537	34.10245
3021	11.42206	25.03952	19.04713	33.85461
3022	12.29404	25.40207	20.63085	33.93263
3023	9.364878	25.85427	18.30595	33.98268
3024	13.39498	25.57421	19.34353	34.03858
3025	9.793038	25.32553	19.00074	33.87454
3026	11.39051	25.08922	19.0031	33.88285
3027	10.23275	25.13886	19.21082	33.89909
3028	11.44315	25.21786	17.92022	33.79584
3029	10.80011	25.29546	18.1857	33.91047
3030	11.37873	25.03785	18.63631	33.92571
3031	11.42522	25.16772	18.59999	33.88239
3032	11.8616	25.11897	18.40723	33.87126
3033	12.42294	25.10601	18.36351	33.96123
3034	9.322286	25.70121	18.48685	33.71899
3035	9.216566	24.77679	18.42706	33.85369
3036	11.11477	24.72586	18.36187	33.84157
3037	9.888469	25.10286	18.0654	34.13162
3038	10.81331	24.8307	17.89346	33.93456
3039	9.841567	25.42359	17.94125	33.82354
3040	11.41554	24.77024	18.15024	33.88798
3041	11.53517	24.63519	17.66251	33.94987
3042	12.1571	24.78344	18.31959	33.80323
3043	11.98433	24.71067	17.55843	33.9016
3044	10.94491	24.68454	17.65189	33.86409
3045	11.47836	24.40019	17.70037	33.79641
3046	13.1166	24.57652	17.48605	33.87142
3047	11.33298	24.56348	17.07264	33.91286
3048	11.4116	24.73092	17.30818	33.83065
3049	11.88233	24.5711	17.44811	33.92231
3050	11.78356	24.58343	17.13803	33.87119
3051	9.67874	24.70743	17.82062	33.81981
3052	10.24037	24.83774	16.95417	33.89832
3053	10.56467	24.55487	17.23468	33.89835
3054	10.79184	24.34425	16.90262	33.82991
3055	10.67064	24.52335	17.38138	33.76546
3056	10.7213	24.48903	16.91501	33.71445
3057	10.07192	24.16098	15.97795	33.9384
3058	11.70742	24.48688	16.34913	33.87495
3059	10.71009	24.29767	17.02415	33.80194
3060	12.07915	24.11165	17.15776	33.77145
3061	11.213	24.02383	16.85111	33.86196
3062	11.65851	24.09378	16.70899	33.80045
3063	9.758386	24.21558	16.13801	33.86071
3064	12.72751	24.22952	15.94976	33.75677
3065	13.51386	24.02272	16.06969	33.87461
3066	11.26529	24.00517	16.77536	33.80978
3067	12.46877	24.17862	16.28735	33.84402
3068	12.87855	24.28411	16.44011	33.71549
3069	10.71083	24.09174	16.72477	33.81292
3070	9.213556	24.23485	16.57561	33.82796
3071	10.37886	24.36147	15.948	33.8206
3072	11.9697	24.26524	15.82992	33.80696
3073	11.62078	23.96398	15.74312	33.69025
3074	11.31827	24.07802	16.65055	33.70972
3075	11.06326	24.16035	16.20989	33.76402
3076	12.67704	24.01909	15.70265	33.78468
3077	12.29636	24.21337	15.6941	33.6971
3078	11.99905	24.5938	15.54912	33.74839
3079	8.896887	24.54324	15.33965	33.80246
3080	9.681152	24.07991	15.52934	33.80384
3081	12.29396	24.10577	16.12299	33.76783
3082	10.29011	24.22724	15.20303	33.70966
3083	11.71894	23.80875	15.62206	33.69502
3084	12.53139	23.91537	15.81325	33.6839
3085	10.69512	23.92821	15.64481	33.72097
3086	11.84917	23.92203	15.69447	33.63313
3087	8.336096	24.01052	14.57863	33.63116
3088	10.76858	23.79753	16.63184	33.72467
3089	11.55039	23.98355	15.95658	33.64823
3090	12.10563	24.07427	15.52702	33.85217
3091	11.50882	23.79028	15.48262	33.68743
3092	10.70458	23.85058	15.59381	33.59709
3093	12.74027	23.87167	16.19685	33.76364
3094	12.64452	23.92717	14.89573	33.71878
3095	8.867859	24.05019	15.6422	33.67127
3096	9.00221	23.82438	15.22384	33.75796
3097	12.04029	23.49183	15.38716	33.71946
3098	10.30027	23.60538	15.20427	33.62494
3099	9.863409	23.68207	15.17851	33.7481
3100	9.390977	24.08754	15.32192	33.41297
3101	10.05759	23.82519	14.97837	33.68072
3102	12.25679	23.62931	15.04176	33.66622
3103	7.858966	24.24999	15.40295	33.63015
3104	13.00535	24.48396	15.03018	33.7067
3105	9.389893	24.17275	13.78395	33.44384
3106	9.007945	24.02434	15.31842	33.67805
3107	10.06133	23.63267	13.37137	33.64306
3108	8.765342	24.24948	14.72529	33.65024
3109	9.715359	23.78201	14.32714	33.71133
3110	7.953406	23.71092	14.50337	33.62977
3111	9.551506	23.82759	14.63992	33.63158
3112	9.933256	23.82122	14.40182	33.5693
3113	10.02813	23.84872	14.79044	33.58529
3114	10.96301	23.75942	14.92124	33.57725
3115	9.405436	24.00536	14.41972	33.6422
3116	9.812494	23.84518	14.67196	33.5503
3117	10.66083	24.06566	14.29532	33.585
3118	10.56714	24.03901	14.17665	33.55461
3119	10.60203	23.8838	14.4608	33.55061
3120	10.26953	23.71292	14.94075	33.53363
3121	10.57143	23.77534	14.62154	33.50727
3122	8.93891	24.01468	14.78859	33.48338
3123	8.849332	23.94484	14.09152	33.53613
3124	11.1161	23.92451	14.93097	33.43503
3125	10.9275	24.01203	14.18752	33.53969
3126	7.424466	24.27955	13.68532	33.52021
3127	8.902479	23.99546	14.16204	33.52482
3128	7.301756	23.98213	13.87001	33.57766
3129	9.405159	24.31963	12.78048	33.90172
3130	7.842525	24.6131	12.68507	33.65352
3131	9.273958	23.80441	14.44069	33.60628
3132	8.732778	24.11862	12.9854	33.54284
3133	10.35643	24.07882	13.15744	33.62318
3134	8.449843	23.80532	13.05169	33.54443
3135	9.186322	24.02598	12.79408	33.52743
3136	7.641888	24.14471	12.87113	33.51853
3137	8.466	23.89085	13.94656	33.53421
3138	9.633285	24.1104	13.99442	33.54868
3139	9.192684	23.83415	13.32605	33.60252
3140	9.82518	23.96671	13.5161	33.56201
3141	11.65666	23.79213	13.56325	33.49725
3142	8.169115	24.0645	13.78633	33.58367
3143	11.55529	24.03643	13.91818	33.61978
3144	9.47842	24.12753	13.2875	33.53367
3145	8.834767	24.1287	13.47044	33.50675
3146	9.682229	24.09092	13.12602	33.39507
3147	7.681592	23.63673	13.13388	33.53291
3148	8.724112	24.09289	13.77366	33.54091
3149	5.825162	24.03305	12.60775	33.37346
3150	10.9349	24.5566	11.60893	33.49453
3151	8.233362	24.19853	12.51819	33.39326
3152	8.865772	23.94171	12.64353	33.38201
3153	9.397087	23.82928	12.85049	33.36693
3154	9.079331	23.7456	12.43526	33.36215
3155	9.297286	23.91211	12.59493	33.44368
3156	10.03112	23.92392	13.06338	33.4947
3157	5.831387	23.9066	12.19256	33.56743
3158	6.147464	23.83645	12.69516	33.46086
3159	8.73587	23.75988	13.04387	33.31468
3160	8.555801	24.03922	12.03431	33.35525
3161	10.84847	23.4512	12.37924	33.36824
3162	10.26999	23.55502	12.73868	33.44204
3163	9.412841	23.72162	12.36103	33.45437
3164	9.079454	23.76081	12.66308	33.56448
3165	8.958594	23.56701	12.74728	33.3714
3166	8.656274	23.90948	12.83048	33.42804
3167	8.454287	23.98966	13.062	33.52814
3168	8.782651	23.36064	12.60641	33.4187
3169	8.469614	23.59251	12.85342	33.40035
3170	8.516683	24.05831	11.67696	33.31371
3171	7.735454	23.83198	12.44467	33.482
3172	7.967551	23.95412	11.64766	33.44117
3173	9.377125	23.41291	12.54399	33.35168
3174	10.28756	23.57721	11.81662	33.30879
3175	10.45614	23.3866	11.89118	33.21435
3176	6.995166	23.72849	9.999097	33.58151
3177	10.5378	23.47833	12.62845	33.38401
3178	7.277957	24.0808	10.90608	33.48296
3179	12.1485	23.67999	11.79263	33.35881
3180	13.26342	23.59508	11.80853	33.41431
3181	11.19769	23.67645	12.21496	33.38292
3182	11.70117	23.59178	12.57159	33.46944
3183	9.529204	23.42468	12.07513	33.40306
3184	8.456354	23.26589	11.89527	33.35664
3185	9.635403	23.28735	11.51674	33.35694
3186	9.609835	23.89611	11.34406	33.2623
3187	6.227285	23.61611	11.79226	33.38539
3188	10.30919	23.44653	11.70609	33.44286
3189	10.59067	23.93195	12.35288	33.44448
3190	12.66755	23.19736	11.89651	33.39151
3191	8.635354	23.6743	11.49682	33.3507
3192	11.46876	23.1954	11.43191	33.38024
3193	10.84121	23.27153	11.45862	33.35812
3194	10.66083	23.23134	13.06027	33.26398
3195	12.81776	23.32227	11.83815	33.25596
3196	10.89064	23.22294	12.27944	33.40486
3197	11.74457	23.54078	11.907	33.30088
3198	11.94353	23.4123	11.29238	33.39966
3199	11.32615	23.14489	11.80822	33.37798
3200	12.99195	23.39968	11.17587	33.45169
3201	10.0889	23.11262	11.64588	33.3377
3202	13.43077	23.15211	11.34133	33.24482
3203	12.95945	23.26012	12.13945	33.20971
3204	13.17428	23.70002	11.59405	33.33279
3205	12.95647	24.20465	12.12785	33.42242
3206	12.89478	23.33617	10.86389	33.24896
3207	11.98035	23.26938	11.21181	33.1989
3208	12.2991	23.44926	11.29143	33.29407
3209	14.20926	23.14974	10.99617	33.36266
3210	12.31284	23.22028	11.35172	33.19472
3211	12.62859	23.05009	11.6177	33.12166
3212	11.03968	23.0603	10.92963	33.27195
3213	13.21837	23.47468	11.07446	33.15088
3214	14.91925	23.4539	11.64658	33.14983
3215	11.03086	23.89378	12.16435	33.39248
3216	12.77458	23.33895	10.7983	33.35759
3217	10.39155	22.85911	11.43733	33.17388
3218	13.27332	22.84525	11.6925	33.24615
3219	11.09104	22.89157	10.65335	33.22174
3220	11.34892	22.78163	10.64961	33.16716
3221	11.81181	22.88732	10.12555	33.23131
3222	12.31253	23.00608	11.27991	33.18371
3223	12.76213	22.9493	10.30104	33.12901
3224	12.61113	22.53159	10.28457	33.08721
3225	14.57705	22.92191	10.60617	33.22998
3226	12.88935	22.40877	10.96278	33.11356
3227	9.059532	23.33621	10.66418	33.12563
3228	12.97234	23.08361	10.57111	33.14141
3229	13.66356	22.7156	10.80595	33.2664
3230	13.23205	23.03333	9.585918	33.14308
3231	9.030696	24.05207	10.6708	33.31704
3232	9.536316	23.16529	10.67085	32.98049
3233	13.78381	22.77791	10.08706	32.97434
3234	11.7381	23.06272	10.14368	33.03379
3235	11.51256	22.89717	9.74486	33.18283
3236	13.26788	22.94725	9.662204	33.03179
3237	12.23212	23.05314	9.993596	33.03674
3238	13.28702	23.1238	10.24225	32.9981
3239	14.10281	22.88161	10.19681	33.06123
3240	11.57007	23.25451	11.25647	33.09368
3241	9.921009	23.52512	8.589828	33.00565
3242	14.00925	23.54679	10.46785	32.92336
3243	12.73746	23.1416	9.89874	33.0165
3244	10.59579	23.26369	9.507152	32.86902
3245	12.28181	23.2604	10.37077	32.97998
3246	12.00176	22.91437	9.418879	32.92865
3247	12.88197	23.08904	9.365679	33.02516
3248	13.8326	22.69859	9.984987	32.95346
3249	12.72981	22.96734	9.699797	32.9782
3250	13.35729	23.08932	9.505005	32.97775
3251	14.72962	22.82924	9.443131	32.90178
3252	13.07869	22.84936	9.139412	33.08827
3253	12.95112	23.3728	8.968781	32.96117
3254	12.35175	22.74406	9.535898	32.98911
3255	12.14293	22.95992	9.262517	32.96404
3256	9.822966	23.3396	9.326478	33.00072
3257	11.20203	23.48439	9.188123	32.85028
3258	11.83748	23.09551	9.543792	32.89601
3259	6.323912	23.66752	9.773969	33.22686
3260	10.6456	22.94268	9.421052	33.00163
3261	12.5824	22.76343	9.540484	32.96912
3262	12.42727	23.9374	9.479793	32.88548
3263	13.56247	23.31592	9.433979	32.91923
3264	11.37593	23.10011	9.580325	32.89973
3265	11.00018	23.5158	9.232399	32.89178
3266	11.35877	23.79414	9.617533	32.60818
3267	10.97274	23.02605	9.69971	32.86094
3268	12.91192	23.20941	9.022834	32.90709
3269	11.74703	23.521	9.14305	32.95248
3270	12.74304	23.26789	10.08202	32.87539
3271	13.52147	23.14074	9.987261	32.79351
3272	14.81333	23.28827	9.717958	32.9197
3273	12.37963	23.05689	9.49081	32.78946
3274	12.77244	22.99589	8.883744	32.81514
3275	13.85211	23.31202	9.533931	32.75531
3276	12.35456	23.24183	9.09183	32.88555
3277	13.21329	23.16699	8.603921	32.68581
3278	13.13468	23.16109	8.617241	32.80977
3279	15.19138	23.23343	8.700948	32.81965
3280	13.48577	23.44319	9.943609	32.73579
3281	14.73849	23.57755	8.794301	32.60082
3282	13.31556	23.50419	8.7709	32.7421
3283	12.40184	23.14694	9.199165	32.73648
3284	14.25915	23.24231	9.105061	32.66176
3285	13.08554	23.2151	8.95765	32.66094
3286	15.3035	23.23971	8.65482	32.61278
3287	14.1207	23.80712	8.932472	32.74077
3288	14.09814	23.21189	8.657384	32.86076
3289	8.676464	23.95366	9.514566	32.65781
3290	13.79374	23.05531	8.911183	32.82546
3291	12.19595	23.75573	9.348033	32.91948
3292	12.91131	23.2607	8.370494	32.82418
3293	12.605	23.60469	8.56627	32.63147
3294	12.72895	23.4509	7.719954	32.69817
3295	12.65996	23.18207	8.351008	32.65276
3296	12.65613	23.07513	8.312343	32.73394
3297	12.39492	23.39654	8.027755	32.58262
3298	15.46676	23.47925	8.529531	32.5732
3299	13.32943	23.42134	8.068965	32.68261
3300	13.39745	23.46173	8.275301	32.60587
3301	12.55817	23.08876	8.185061	32.53067
3302	12.81612	23.49701	8.144379	32.72621
3303	12.29277	23.21873	7.09901	32.73097
3304	13.54458	23.06822	7.52639	32.71368
3305	14.45443	23.2559	9.276916	32.67418
3306	15.28027	23.30029	7.934142	32.55749
3307	12.39918	23.56935	7.84396	32.62735
3308	13.29677	23.45342	7.661649	32.54029
3309	12.11541	23.91994	7.340286	32.59644
3310	15.51069	23.43396	7.411736	32.64831
3311	11.82792	23.39173	7.772714	32.71054
3312	14.72943	24.12774	6.994212	32.62108
3313	13.30524	23.29587	8.081034	32.57963
3314	12.26079	23.13928	7.625947	32.57851
3315	15.03977	23.34244	8.068345	32.62673
3316	12.16417	23.04213	7.837451	32.55992
3317	12.36911	23.39107	7.939175	32.70895
3318	11.24256	23.49574	8.228479	32.58555
3319	13.12211	23.61154	8.084349	32.52351
3320	10.58896	23.22288	8.334191	32.6909
3321	10.00879	23.3478	6.935965	32.62144
3322	11.76198	23.10711	7.708092	32.57842
3323	11.20302	23.01621	8.054292	32.63827
3324	11.09637	23.07039	7.648324	32.53174
3325	10.96871	23.04304	7.8886	32.60035
3326	10.16038	23.08136	7.829045	32.48089
3327	12.78805	23.59955	7.999292	32.58402
3328	12.57667	23.18855	7.565425	32.59245
3329	12.35272	23.40233	6.977043	32.51473
3330	11.72592	23.29126	6.703723	32.41427
3331	10.6305	23.88546	6.90702	32.73534
3332	11.94443	23.67012	6.35957	32.55326
3333	10.7065	23.10677	5.808192	32.60289
3334	10.70846	23.58847	5.696045	32.44731
3335	12.03695	23.66682	7.3277	32.65041
3336	12.69911	22.87171	6.746232	32.63256
3337	12.78185	23.28599	6.871738	32.61256
3338	10.48144	23.26998	7.367503	32.5639
3339	8.096303	23.38658	7.652388	32.46911
3340	12.67427	24.07611	6.193512	32.38432
3341	10.33216	23.59237	6.269287	32.6101
3342	11.97745	23.402	6.663375	32.34804
3343	8.915299	23.03145	6.966568	32.42146
3344	9.660475	23.14079	7.187018	32.51355
3345	13.67192	22.93712	6.091178	32.42207
3346	12.14313	23.12969	6.540694	32.6123
3347	10.13143	22.96887	6.547707	32.41413
3348	10.54903	22.97616	7.539231	32.46642
3349	9.853363	23.32504	5.888368	32.56432
3350	11.20467	22.93148	7.301389	32.45044
3351	12.83446	22.99294	6.06149	32.41659
3352	12.06388	22.84335	5.498461	32.44211
3353	11.12669	23.19641	5.677348	32.38622
3354	11.23571	23.06862	5.950874	32.33323
3355	11.15451	22.92354	5.723853	32.46137
3356	14.12557	23.00362	6.050099	32.4554
3357	12.9534	23.35195	6.085533	32.46279
3358	13.20463	23.07416	6.469361	32.32882
3359	10.17635	22.97483	5.700054	32.47366
3360	9.506971	23.26904	6.483107	32.41285
3361	9.671273	23.01658	5.47553	32.40009
3362	11.2969	23.13792	6.086594	32.51037
3363	12.0832	23.04526	5.931724	32.42846
3364	12.42014	23.30986	4.713011	32.40916
3365	12.49644	22.974	5.887733	32.25035
3366	11.31513	23.01838	5.617533	32.34801
3367	11.73133	23.12216	5.874004	32.29114
3368	11.69723	23.34153	5.476958	32.1914
3369	11.25994	23.12142	5.315834	32.28463
3370	10.51827	23.16874	5.584284	32.29842
3371	9.898195	23.43183	6.065639	32.37562
3372	8.594021	23.41855	6.337584	32.3684
3373	11.03042	23.01094	5.312757	32.41013
3374	8.615074	23.28048	5.351401	32.21935
3375	12.41304	23.09747	4.993854	32.3703
3376	12.75589	22.99715	5.161966	32.28074
3377	7.535714	23.30906	4.412647	32.30672
3378	4.070998	23.56258	4.754487	32.2032
3379	10.78849	23.74415	5.028295	32.36328
3380	9.821056	23.12936	5.116721	32.14206
3381	12.16599	23.10126	4.436953	32.34404
3382	11.77204	23.20474	4.887205	32.27715
3383	10.80105	23.18089	4.850854	32.47588
3384	11.14619	22.98365	5.651379	32.46915
3385	10.81132	22.95247	4.112307	32.14069
3386	10.96272	23.15035	4.782095	32.20714
3387	11.04208	23.14341	5.338252	32.26415
3388	12.31757	23.27607	5.392642	32.18509
3389	8.497144	23.22918	4.614633	32.30619
3390	12.38834	23.02784	4.569109	32.17209
3391	11.84643	23.1105	4.662502	32.18896
3392	12.0663	23.26525	4.505806	32.34382
3393	11.24793	22.97085	3.877906	32.26695
3394	12.8961	23.27779	2.377954	32.36088
3395	12.01622	23.22196	4.344258	32.12858
3396	9.762396	23.63703	3.821511	32.2839
3397	10.74605	23.29827	3.273627	32.26661
3398	11.19688	23.47519	3.665283	32.1745
3399	11.6433	23.54949	3.492044	32.21963
3400	11.27696	23.35236	3.247635	32.23866
3401	11.62162	23.28208	3.728407	32.08416
3402	10.98274	23.25268	4.078169	32.24576
3403	11.63172	23.63581	3.277045	32.07722
3404	12.55114	23.50836	4.067968	32.04187
3405	10.57966	23.72552	2.776796	32.08488
3406	11.35183	23.19377	3.27014	32.11167
3407	12.66349	23.16585	3.537774	32.10658
3408	12.24611	23.42131	3.338525	32.13881
3409	12.10006	23.5447	2.579879	32.09935
3410	13.20898	23.61278	3.118915	32.0957
3411	10.5752	23.66687	2.936627	32.07307
3412	11.17269	23.21346	3.475053	32.14797
3413	12.45061	23.7241	3.743453	31.97746
3414	11.80863	23.6788	2.293196	32.03849
3415	11.21767	23.43743	3.122511	32.07477
3416	12.63264	23.17369	3.408007	31.98143
3417	13.07557	23.42574	3.115421	32.19633
3418	11.81878	23.17568	3.215791	32.06656
3419	12.02382	23.5401	2.946243	31.99081
3420	8.399271	23.24293	2.55141	31.94841
3421	8.060402	23.41167	3.421699	31.98092
3422	11.76839	23.38594	3.061622	31.96973
3423	9.467816	23.86202	2.595076	32.11068
3424	10.6442	23.69621	1.966781	32.15751
3425	12.52849	23.64832	2.257541	31.99627
3426	12.80429	23.46932	2.247536	31.91577
3427	12.84465	23.53269	2.030013	31.94975
3428	12.65137	23.58394	2.629091	31.98498
3429	12.96759	23.39636	1.731527	31.85758
3430	14.19657	23.61805	1.594323	31.92477
3431	11.8595	24.18538	2.449353	32.00927
3432	11.41564	23.53457	1.896385	31.98585
3433	14.24787	23.57271	2.24054	31.96752
3434	12.92304	23.60648	2.272426	31.88175
3435	12.63731	23.76422	2.301248	31.89193
3436	13.07071	23.64396	1.213507	31.80639
3437	7.806401	23.54466	1.462771	31.72091
3438	11.0011	23.52428	2.928505	31.6291
3439	12.1207	23.44967	2.146929	32.00037
3440	11.8698	23.45924	1.790829	31.85836
3441	11.44449	23.60569	1.255355	31.90354
3442	10.24358	23.3422	2.172302	31.96449
3443	12.22739	23.45958	1.697101	31.85812
3444	9.317155	23.83302	0.6833085	31.80837
3445	14.73977	23.98452	1.182843	31.83983
3446	12.83176	23.71119	1.898783	31.97472
3447	13.25548	23.5346	1.376548	31.81221
3448	13.84505	23.75836	1.811725	31.75924
3449	13.31903	23.77206	1.081059	31.81029
3450	10.7631	24.16826	1.37463	31.91656
3451	11.5773	23.95702	0.3587545	31.90226
3452	13.86102	23.80587	1.332171	31.90216
