time	NAA-L Phase	NAA-L Amp	NPM-L Phase	NPM-L Amp
144	70.15012	23.66937	102.2497	29.66898
145	71.62946	23.52737	99.73442	29.70868
146	71.8866	23.7831	101.0869	29.51527
147	71.63495	23.81764	100.2318	29.70938
148	70.98295	23.47298	101.6562	29.66048
149	69.41124	23.45449	100.3361	29.73788
150	70.16068	23.95061	99.99609	29.67394
151	70.57238	23.75305	100.5223	29.51451
152	70.36547	23.64283	99.04032	29.74533
153	69.55247	23.98189	100.0468	29.67341
154	69.86997	23.93959	100.3535	29.76114
155	71.71636	23.73682	99.59992	29.78981
156	69.84457	23.89169	100.2232	29.6973
157	70.21415	23.79829	99.09557	29.83112
158	71.22486	23.77513	99.53083	29.82875
159	72.74449	23.78659	99.538	29.87592
160	72.18451	24.12769	98.1761	30.06312
161	68.24494	23.48012	99.22262	29.64814
162	71.39757	23.23862	98.47963	29.87518
163	70.36004	23.83604	99.21874	29.75421
164	69.43979	23.6542	100.0069	29.77602
165	70.24575	23.49685	98.79593	29.78869
166	69.32104	23.66019	98.3534	29.74173
167	67.76118	23.99744	98.99227	30.34974
168	67.97301	23.70422	97.74154	29.58336
169	67.66219	23.53207	97.70251	29.95701
170	69.25186	24.01524	99.15755	29.68608
171	68.4725	23.65312	99.79802	29.92117
172	68.70347	23.50874	98.33149	29.87709
173	69.09159	23.631	98.25959	29.8195
174	66.59476	23.88589	98.10867	29.65429
175	70.51535	23.85622	97.81348	29.82895
176	68.27821	23.42715	99.0904	30.05216
177	67.99011	23.54326	98.44763	30.01428
178	67.92026	24.01755	99.29457	29.65445
179	67.801	23.68111	98.96258	29.87148
180	68.70151	23.66251	98.19785	29.66861
181	67.88867	23.79094	98.8656	30.01356
182	69.37635	23.80688	98.31616	29.90709
183	67.34506	23.76757	96.44487	30.02893
184	68.25777	23.84809	97.95144	29.83049
185	68.39587	23.70996	98.09813	29.91303
186	68.48764	23.81223	97.41804	29.82264
187	68.35687	23.99941	97.58215	29.96972
188	65.74546	23.6213	98.05915	29.85146
189	66.87318	23.65568	97.51426	29.94146
190	67.75689	23.61449	97.75981	30.13106
191	67.18842	23.58676	97.76145	30.01867
192	67.88647	23.81208	97.67714	29.99718
193	68.18283	23.85259	96.46239	30.02487
194	66.76617	23.78626	98.01416	30.04721
195	67.43923	23.72244	96.72856	29.76689
196	68.4354	23.61796	98.5273	29.77242
197	67.4334	23.44303	97.46431	29.98653
198	68.46749	23.80368	97.42599	29.93697
199	66.59966	23.76122	96.9965	29.98738
200	67.08052	23.62211	95.92659	30.24496
201	67.78744	23.55157	97.36577	29.95541
202	64.86804	23.54261	95.90002	30.01664
203	65.96285	23.4459	95.97072	30.03703
204	68.12292	23.64109	95.76462	29.87076
205	65.31915	23.51818	96.35752	29.89697
206	66.53663	23.63124	95.99272	30.14485
207	66.61809	23.88006	95.32712	29.96629
208	67.75476	23.63339	95.3036	30.32392
209	64.52816	23.57994	96.92223	30.09526
210	68.3446	23.6887	95.54305	30.14726
211	67.5378	23.77724	94.94001	30.06874
212	66.91587	23.85757	95.60613	30.08644
213	66.90511	23.53411	95.7786	30.0524
214	67.8096	23.39481	95.72358	30.09652
215	66.71888	23.96007	96.17557	30.15353
216	67.27522	23.99759	95.53402	30.26399
217	65.7151	23.47874	96.35807	30.21609
218	66.59677	23.51013	95.25734	30.12108
219	67.11321	23.40355	95.59861	30.08509
220	66.04524	23.47366	94.75378	30.09297
221	66.75169	23.37003	95.15037	30.14118
222	67.64552	23.58687	95.30528	30.03075
223	65.98823	23.23916	95.18566	30.10841
224	65.04559	23.97018	95.83422	30.02676
225	67.01023	23.57633	95.38559	30.18344
226	65.80073	23.58022	95.47519	30.25727
227	66.58755	23.91904	96.23172	30.23877
228	67.26256	23.57397	95.93519	30.3656
229	62.79917	23.70098	94.44497	30.10528
230	64.22789	23.68174	95.02038	30.28296
231	65.14202	23.89356	94.6624	30.30732
232	65.62505	23.6533	95.09644	30.25964
233	66.13591	23.89099	95.09576	30.05247
234	65.96184	23.6243	95.71199	30.29822
235	66.07715	23.94319	95.85758	30.17293
236	65.73237	24.29163	93.85307	30.19671
237	64.33699	23.9739	93.64155	30.21364
238	68.86521	23.75359	94.0845	30.32676
239	67.36974	23.49778	94.70684	30.19825
240	66.60925	23.71733	94.55987	30.24231
241	67.00617	23.91224	95.02093	30.37301
242	66.27385	23.67874	94.32394	30.35766
243	67.00461	23.92921	93.21038	30.30641
244	65.34463	23.59897	94.39169	30.32409
245	65.14987	23.75673	94.53699	30.3149
246	65.36923	23.32988	93.59115	30.31044
247	67.87266	23.90648	94.57168	30.41628
248	66.6942	23.65467	94.71335	30.35051
249	65.24103	23.71075	94.89124	30.54756
250	65.37374	23.40155	94.41077	30.31161
251	68.7324	24.01019	93.80008	30.52294
252	64.92062	23.70425	93.73266	30.33708
253	66.83992	23.49009	94.64762	30.31468
254	64.59505	23.87778	93.56188	30.47712
255	65.53118	23.81216	94.12552	30.26902
256	69.20999	23.79219	93.5616	30.40362
257	63.67368	23.91281	93.7186	30.32756
258	65.65844	23.68196	92.88788	30.33165
259	66.90971	23.84147	93.41392	30.40349
260	64.84769	23.75328	93.05685	30.30258
261	64.12699	23.73364	93.83643	30.38511
262	66.18195	23.97907	91.69964	30.49735
263	65.58501	23.91736	93.08261	30.49961
264	65.49837	23.79549	93.65792	30.47814
265	64.46992	24.12257	93.24621	30.56155
266	66.03683	23.95385	92.20194	30.31182
267	65.44514	23.7462	92.24339	30.31104
268	62.82955	23.65247	92.70435	30.49111
269	66.22069	23.97203	92.60611	30.45501
270	63.14123	23.73985	92.69432	30.4505
271	64.09346	24.01834	92.49845	30.61367
272	65.73371	23.68676	92.60164	30.52527
273	64.00459	23.89978	92.36511	30.47567
274	65.14719	23.64258	93.01259	30.52346
275	64.79678	23.80667	92.82113	30.54653
276	66.90315	23.75433	91.27868	30.58713
277	65.16408	23.87012	92.59377	30.42611
278	64.03068	24.26098	92.83255	30.45672
279	62.07807	24.07358	91.81978	30.47505
280	63.05173	23.79223	92.02473	30.67956
281	65.41164	23.89278	92.62407	30.62901
282	63.3944	23.79002	91.03496	30.50967
283	63.4349	23.88879	91.90583	30.44728
284	64.41122	24.03671	91.86993	30.557
285	63.47533	23.9387	92.05418	30.5151
286	66.09262	23.70098	90.57715	30.65033
287	65.90674	23.91661	92.43318	30.39459
288	66.38585	23.95988	89.67056	30.57653
289	66.72504	23.82499	91.06004	30.62307
290	63.48812	24.02904	91.8938	30.46776
291	65.91706	23.69171	91.72093	30.64104
292	65.52246	23.91609	90.71169	30.45945
293	68.01062	23.44583	90.57442	30.51644
294	65.59442	24.10618	92.74409	30.66925
295	65.65412	24.33007	92.22026	30.72086
296	65.02831	23.90166	91.76034	30.52484
297	64.60396	23.85649	91.84999	30.52152
298	65.08115	23.92082	91.25651	30.62292
299	63.30017	23.92064	90.05132	30.45378
300	67.32319	23.84758	91.01988	30.40686
301	65.84586	23.89014	89.61419	30.66302
302	67.667	24.12502	91.55665	30.60292
303	65.07521	23.9337	91.11062	30.69381
304	64.08181	23.75656	90.31688	30.65195
305	64.54526	24.12893	89.98375	30.8695
306	66.49293	24.54864	91.78755	30.74664
307	63.82124	24.03243	90.60118	30.52929
308	65.79974	24.05851	90.67358	30.71589
309	65.85061	24.90014	91.47637	30.64745
310	66.22903	23.94235	90.60279	30.79387
311	65.64346	24.33977	89.80846	30.64487
312	64.95433	24.01934	90.47086	30.801
313	63.69066	24.46385	89.06082	30.85188
314	65.13558	24.10028	89.94112	30.75404
315	66.99546	24.24923	90.22871	30.68392
316	66.2655	24.34145	90.82079	30.59256
317	65.11975	24.65251	90.47698	30.76454
318	63.00774	24.29602	90.30462	30.71711
319	62.18069	24.24841	89.71425	30.76899
320	64.51175	24.12712	114.5823	30.19123
321	65.58748	24.19132	90.81526	30.62789
322	63.01784	24.20196	89.98416	30.82098
